"","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENS_DESCRIPTION","ymd","month","wday","LONGTITUDE","LATITUDE","LOCATION_ADDRESS","CITY","STATE"
"15191","2016-012275",40,"THEFT OF PROPERTY MISD",2015-12-29,12,"Tuesday",-92.2668476,34.7437922,"414 E CAPITOL AVE","Little Rock"," Arkansas"
"15192","2016-123732",53,"THEFT OF PROPERTY MISD",2016-10-26,10,"Wednesday",-92.3145944,34.7449473,"702 MAPLE ST","Little Rock"," Arkansas"
"15193","2016-123827",63,"THEFT OF PROPERTY MISD",2016-11-01,11,"Tuesday",-92.3861639,34.7688084,"1515 BRECKENRIDGE DR","Little Rock"," Arkansas"
"15194","2016-093426",61,"THEFT OF PROPERTY MISD",2016-08-12,8,"Friday",-92.3718371,34.7392983,"1407 JOHN BARROW RD","Little Rock"," Arkansas"
"15195","2016-101214",63,"THEFT OF PROPERTY MISD",2016-09-07,9,"Wednesday",-92.3584263,34.7713083,"2002 N MISSISSIPPI ST","Little Rock"," Arkansas"
"15196","2016-071508",51,"THEFT OF PROPERTY MISD",2016-04-17,4,"Sunday",-92.28599,34.7497926,"120 S VICTORY ST","Little Rock"," Arkansas"
"15197","2016-114804",71,"THEFT OF PROPERTY MISD",2016-10-11,10,"Tuesday",-92.4042062,34.7706872,"1912 GREEN MOUNTAIN DR","Little Rock"," Arkansas"
"15198","2016-128321",64,"THEFT OF PROPERTY MISD",2016-11-07,11,"Monday",-92.4088401,34.7239699,"3416 S BOWMAN RD","Little Rock"," Arkansas"
"15199","2016-117997",54,"THEFT OF PROPERTY MISD",2016-10-18,10,"Tuesday",-92.3248626,34.7417647,"1101 ADAMS ST","Little Rock"," Arkansas"
"15200","2016-135550",64,"THEFT OF PROPERTY MISD",2016-12-02,12,"Friday",-92.3946695,34.7506751,"310 S SHACKLEFORD RD","Little Rock"," Arkansas"
"15201","2016-110812",82,"THEFT OF PROPERTY MISD",2016-10-01,10,"Saturday",-92.3183396,34.6615948,"3507 PINE CONE DR","Little Rock"," Arkansas"
"15202","2016-105767",41,"THEFT OF PROPERTY MISD",2016-09-17,9,"Saturday",-92.251904,34.7304461,"701 E 17TH ST","Little Rock"," Arkansas"
"15203","2016-116462",50,"THEFT OF PROPERTY MISD",2016-10-14,10,"Friday",-92.3332371,34.7692694,"1901 N TYLER ST","Little Rock"," Arkansas"
"15204","2016-110648",64,"THEFT OF PROPERTY MISD",2016-09-29,9,"Thursday",-92.4036138,34.7544477,"11500 W MARKHAM ST","Little Rock"," Arkansas"
"15205","2016-123887",81,"THEFT OF PROPERTY MISD",2016-11-02,11,"Wednesday",-92.3428981,34.6697097,"8801 GEYER SPRINGS RD","Little Rock"," Arkansas"
"15206","2016-122981",64,"THEFT OF PROPERTY MISD",2016-09-24,9,"Saturday",-92.4064682,34.7576477,"400 N BOWMAN RD","Little Rock"," Arkansas"
"15207","2016-137558",62,"THEFT OF PROPERTY MISD",2016-12-04,12,"Sunday",-92.3477846,34.718873,"6420 COLONEL GLENN RD","Little Rock"," Arkansas"
"15208","2016-141180",90,"THEFT OF PROPERTY MISD",2016-12-17,12,"Saturday",-92.3592495,34.6933386,"26 ROSEWOOD DR","Little Rock"," Arkansas"
"15209","2016-136075",40,"THEFT OF PROPERTY MISD",2016-12-02,12,"Friday",-92.2662321,34.7412146,"507 E 7TH ST","Little Rock"," Arkansas"
"15210","2016-119358",71,"THEFT OF PROPERTY MISD",2016-10-22,10,"Saturday",-92.4445391,34.7653905,"6 ALTON LN","Little Rock"," Arkansas"
"15211","2016-104545",61,"THEFT OF PROPERTY MISD",2016-09-15,9,"Thursday",-92.3637189,34.7501505,"7820 W CAPITOL AVE","Little Rock"," Arkansas"
"15212","2016-056560",50,"THEFT OF PROPERTY MISD",2016-05-22,5,"Sunday",-92.326779,34.771402,"2116 N SPRUCE ST","Little Rock"," Arkansas"
"15213","2016-039697",54,"THEFT OF PROPERTY MISD",2016-04-08,4,"Friday",-92.3241844,34.7296626,"4505 W 24TH ST","Little Rock"," Arkansas"
"15214","2016-110314",53,"THEFT OF PROPERTY MISD",2016-09-30,9,"Friday",-92.3063539,34.7455776,"623 BOOKER ST","Little Rock"," Arkansas"
"15215","2016-034618",90,"THEFT OF PROPERTY MISD",2016-03-24,3,"Thursday",-92.3802437,34.6716241,"9101 MABELVALE PIKE","Little Rock"," Arkansas"
"15216","2016-145489",93,"THEFT OF PROPERTY MISD",2016-12-28,12,"Wednesday",-92.4169438,34.6719006,"8815 STAGECOACH RD","Little Rock"," Arkansas"
"15217","2016-078555",90,"THEFT OF PROPERTY MISD",2016-07-10,7,"Sunday",-92.3488968,34.6958734,"29 IVY DR","Little Rock"," Arkansas"
"15218","2016-094301",50,"THEFT OF PROPERTY MISD",2016-08-21,8,"Sunday",-92.310705,34.7559363,"1605 KAVANAUGH BLVD","Little Rock"," Arkansas"
"15219","2016-112741",62,"THEFT OF PROPERTY MISD",2016-10-06,10,"Thursday",-92.342759,34.7192698,"3700 S UNIVERSITY AVE","Little Rock"," Arkansas"
"15220","2016-042707",64,"THEFT OF PROPERTY MISD",2016-04-18,4,"Monday",-92.3863374,34.7421228,"10001 KANIS RD","Little Rock"," Arkansas"
"15221","2016-002968",82,"THEFT OF PROPERTY MISD",2015-05-01,5,"Friday",-92.320434,34.660253,"3723 W 98TH ST","Little Rock"," Arkansas"
"15222","2016-110215",50,"THEFT OF PROPERTY MISD",2016-09-29,9,"Thursday",-92.3373596,34.7764369,"2624 N FILLMORE ST","Little Rock"," Arkansas"
"15223","2016-146174",93,"THEFT OF PROPERTY MISD",2016-12-30,12,"Friday",-92.4169438,34.6719006,"8815 STAGECOACH RD","Little Rock"," Arkansas"
"15224","2016-145394",91,"THEFT OF PROPERTY MISD",2016-12-28,12,"Wednesday",-92.3770659,34.6675423,"8801 BASELINE RD","Little Rock"," Arkansas"
"15225","2016-146104",64,"THEFT OF PROPERTY MISD",2016-12-30,12,"Friday",-92.3975621,34.7283127,"2700 S SHACKLEFORD RD","Little Rock"," Arkansas"
"15226","2016-049009",60,"THEFT OF PROPERTY MISD",2015-12-06,12,"Sunday",-92.3498063,34.7718851,"420 PINE VALLEY RD","Little Rock"," Arkansas"
"15227","2016-104692",54,"THEFT OF PROPERTY MISD",2016-09-16,9,"Friday",-92.3367816,34.7315803,"2209 S FILLMORE ST","Little Rock"," Arkansas"
"15228","2016-109998",82,"THEFT OF PROPERTY MISD",2016-09-07,9,"Wednesday",-92.357804,34.6640261,"7120 REDWOOD DR","Little Rock"," Arkansas"
"15229","2016-055256",91,"THEFT OF PROPERTY MISD",2016-04-01,4,"Friday",-92.364822,34.6676235,"7712 EAGLE DR","Little Rock"," Arkansas"
"15230","2016-025982",71,"THEFT OF PROPERTY MISD",2016-03-08,3,"Tuesday",-92.4097366,34.7644639,"11906 SAINT CHARLES BLVD","Little Rock"," Arkansas"
"15231","2016-004848",53,"THEFT OF PROPERTY MISD",2016-01-12,1,"Tuesday",-92.3122453,34.7499966,"224 VALMAR ST","Little Rock"," Arkansas"
