LATITUDE,LONGITUDE,DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp
34.7273,-92.2389,1/4/15 22:53,,,,,
34.7273,-92.2389,1/4/15 23:53,43,26,,,
34.7273,-92.2389,1/4/15 23:59,43,26,,,
34.7273,-92.2389,1/5/15 0:53,,,,,
34.7273,-92.2389,1/5/15 1:53,,,,,
34.7273,-92.2389,1/5/15 2:53,,,,,
34.7273,-92.2389,1/5/15 3:53,,,,,
34.7273,-92.2389,1/5/15 4:53,,,,,
34.7273,-92.2389,1/5/15 5:53,,,,,
34.7273,-92.2389,1/5/15 6:53,,,,,
34.7273,-92.2389,1/5/15 7:53,,,,,
34.7273,-92.2389,1/5/15 8:53,,,,,
34.7273,-92.2389,1/5/15 9:53,,,,,
34.7273,-92.2389,1/5/15 10:53,,,,,
34.7273,-92.2389,1/5/15 11:53,,,,,
34.7273,-92.2389,1/5/15 12:53,,,,,
34.7273,-92.2389,1/5/15 13:53,,,,,
34.7273,-92.2389,1/5/15 14:53,,,,,
34.7273,-92.2389,1/5/15 15:53,,,,,
34.7273,-92.2389,1/5/15 16:53,,,,,
34.7273,-92.2389,1/5/15 17:53,,,,,
34.7273,-92.2389,1/5/15 18:53,,,,,
34.7273,-92.2389,1/5/15 19:53,,,,,
34.7273,-92.2389,1/5/15 20:53,,,,,
34.7273,-92.2389,1/5/15 21:53,,,,,
34.7273,-92.2389,1/5/15 22:53,,,,,
34.7273,-92.2389,1/5/15 23:53,34,22,,,
34.7273,-92.2389,1/5/15 23:59,34,22,,,
34.7273,-92.2389,1/6/15 0:53,,,,,
34.7273,-92.2389,1/6/15 1:53,,,,,
34.7273,-92.2389,1/6/15 2:53,,,,,
34.7273,-92.2389,1/6/15 3:53,,,,,
34.7273,-92.2389,1/6/15 4:53,,,,,
34.7273,-92.2389,1/6/15 5:53,,,,,
34.7273,-92.2389,1/6/15 6:53,,,,,
34.7273,-92.2389,1/6/15 7:53,,,,,
34.7273,-92.2389,1/6/15 8:53,,,,,
34.7273,-92.2389,1/6/15 9:53,,,,,
34.7273,-92.2389,1/6/15 10:53,,,,,
34.7273,-92.2389,1/6/15 11:53,,,,,
34.7273,-92.2389,1/6/15 12:53,,,,,
34.7273,-92.2389,1/6/15 13:53,,,,,
34.7273,-92.2389,1/6/15 14:53,,,,,
34.7273,-92.2389,1/6/15 15:53,,,,,
34.7273,-92.2389,1/6/15 16:53,,,,,
34.7273,-92.2389,1/6/15 17:53,,,,,
34.7273,-92.2389,1/6/15 18:53,,,,,
34.7273,-92.2389,1/6/15 19:53,,,,,
34.7273,-92.2389,1/6/15 20:53,,,,,
34.7273,-92.2389,1/6/15 21:53,,,,,
34.7273,-92.2389,1/6/15 22:53,,,,,
34.7273,-92.2389,1/6/15 23:53,55,25,,,
34.7273,-92.2389,1/6/15 23:59,55,25,,,
34.7273,-92.2389,1/7/15 0:53,,,,,
34.7273,-92.2389,1/7/15 1:53,,,,,
34.7273,-92.2389,1/7/15 2:53,,,,,
34.7273,-92.2389,1/7/15 3:53,,,,,
34.7273,-92.2389,1/7/15 4:53,,,,,
34.7273,-92.2389,1/7/15 5:53,,,,,
34.7273,-92.2389,1/7/15 6:53,,,,,
34.7273,-92.2389,1/7/15 7:53,,,,,
34.7273,-92.2389,1/7/15 8:53,,,,,
34.7273,-92.2389,1/7/15 9:53,,,,,
34.7273,-92.2389,1/7/15 10:53,,,,,
34.7273,-92.2389,1/7/15 11:53,,,,,
34.7273,-92.2389,1/7/15 12:53,,,,,
34.7273,-92.2389,1/7/15 13:53,,,,,
34.7273,-92.2389,1/7/15 14:53,,,,,
34.7273,-92.2389,1/7/15 15:53,,,,,
34.7273,-92.2389,1/7/15 16:53,,,,,
34.7273,-92.2389,1/7/15 17:53,,,,,
34.7273,-92.2389,1/7/15 18:53,,,,,
34.7273,-92.2389,1/7/15 19:53,,,,,
34.7273,-92.2389,1/7/15 20:53,,,,,
34.7273,-92.2389,1/7/15 21:53,,,,,
34.7273,-92.2389,1/7/15 22:53,,,,,
34.7273,-92.2389,1/7/15 23:53,37,17,,,
34.7273,-92.2389,1/7/15 23:59,37,17,,,
34.7273,-92.2389,1/8/15 0:53,,,,,
34.7273,-92.2389,1/8/15 1:53,,,,,
34.7273,-92.2389,1/8/15 2:53,,,,,
34.7273,-92.2389,1/8/15 3:53,,,,,
34.7273,-92.2389,1/8/15 4:53,,,,,
34.7273,-92.2389,1/8/15 5:53,,,,,
34.7273,-92.2389,1/8/15 6:53,,,,,
34.7273,-92.2389,1/8/15 7:53,,,,,
34.7273,-92.2389,1/8/15 8:53,,,,,
34.7273,-92.2389,1/8/15 9:53,,,,,
