"","date","dailyMax","dailyMin"
"1763","2015-2-28",38,26
"1815","2015-3-1",42,28
"1816","2015-3-1",42,28
"1847","2015-3-2",40,34
"1848","2015-3-2",40,34
"1898","2015-3-3",57,35
"1899","2015-3-3",57,35
"1958","2015-3-4",53,25
"1959","2015-3-4",53,25
"2001","2015-3-5",38,21
"2002","2015-3-5",38,20
"2026","2015-3-6",38,17
"2027","2015-3-6",38,17
"2051","2015-3-7",60,28
"2052","2015-3-7",60,28
"2089","2015-3-8",50,33
"2090","2015-3-8",50,33
"2129","2015-3-9",50,44
"2130","2015-3-9",50,44
"2170","2015-3-10",58,48
"2171","2015-3-10",58,48
"2196","2015-3-11",69,52
"2197","2015-3-11",69,52
"2235","2015-3-12",57,51
"2236","2015-3-12",57,51
"2297","2015-3-13",66,57
"2299","2015-3-13",66,57
"2350","2015-3-14",64,57
"2351","2015-3-14",64,57
"2375","2015-3-15",72,51
"2376","2015-3-15",72,51
"2406","2015-3-16",74,48
"2407","2015-3-16",74,48
"2431","2015-3-17",83,52
"2432","2015-3-17",83,52
"2466","2015-3-18",57,33
"2467","2015-3-18",57,44
"2496","2015-3-19",53,43
"2497","2015-3-19",53,43
"2531","2015-3-20",65,49
"2532","2015-3-20",65,49
"2556","2015-3-21",59,49
"2557","2015-3-21",59,49
"2599","2015-3-22",61,50
"2600","2015-3-22",61,50
"2624","2015-3-23",74,47
"2625","2015-3-23",74,47
"2649","2015-3-24",80,52
"2650","2015-3-24",80,52
"2674","2015-3-25",81,56
"2675","2015-3-25",81,56
"2713","2015-3-26",69,43
"2714","2015-3-26",69,43
"2738","2015-3-27",58,41
"2739","2015-3-27",58,41
"2765","2015-3-28",51,40
"2766","2015-3-28",51,39
"2795","2015-3-29",80,38
"2796","2015-3-29",80,38
"2820","2015-3-30",74,50
"2821","2015-3-30",74,50
"2851","2015-3-31",84,57
"2852","2015-3-31",84,57
"2891","2015-4-1",81,59
"2892","2015-4-1",81,59
"2919","2015-4-2",81,63
"2920","2015-4-2",81,63
"2950","2015-4-3",80,51
"2951","2015-4-3",80,51
"2975","2015-4-4",64,43
"2976","2015-4-4",64,43
"3002","2015-4-5",59,45
"3003","2015-4-5",59,45
"3046","2015-4-6",76,54
"3047","2015-4-6",76,54
"3078","2015-4-7",85,64
"3107","2015-4-8",85,67
"3147","2015-4-9",87,66
"3172","2015-4-10",71,50
"3197","2015-4-11",74,46
"3222","2015-4-12",82,50
"3271","2015-4-13",74,60
"3310","2015-4-14",69,56
"3346","2015-4-15",72,56
"3388","2015-4-16",79,53
"3416","2015-4-17",80,63
"3458","2015-4-18",74,63
"3495","2015-4-19",82,58
"3520","2015-4-20",70,50
"3545","2015-4-21",74,46
"3570","2015-4-22",77,51
"3597","2015-4-23",64,53
"3645","2015-4-24",62,52
"3675","2015-4-25",86,62
"3706","2015-4-26",70,57
"3733","2015-4-27",66,53
"3757","2015-4-28",59,52
"3758","2015-4-28",59,52
"3782","2015-4-29",79,48
"3783","2015-4-29",79,48
"3807","2015-4-30",81,50
"3808","2015-4-30",81,50
"3832","2015-5-1",74,52
"3833","2015-5-1",74,52
"3857","2015-5-2",79,48
"3858","2015-5-2",79,48
"3882","2015-5-3",85,53
"3883","2015-5-3",85,53
"3907","2015-5-4",84,60
"3908","2015-5-4",84,60
"3932","2015-5-5",86,64
"3933","2015-5-5",86,64
"3957","2015-5-6",85,64
"3958","2015-5-6",85,64
"3982","2015-5-7",87,63
"3983","2015-5-7",87,63
"4011","2015-5-8",82,72
"4012","2015-5-8",82,72
"4070","2015-5-9",79,67
"4071","2015-5-9",79,67
"4108","2015-5-10",82,68
"4109","2015-5-10",82,68
"4156","2015-5-11",80,64
"4157","2015-5-11",80,64
"4181","2015-5-12",72,58
"4182","2015-5-12",72,58
"4206","2015-5-13",71,56
"4207","2015-5-13",71,56
"4232","2015-5-14",84,64
"4233","2015-5-14",84,64
"4264","2015-5-15",81,68
"4265","2015-5-15",81,68
"4307","2015-5-16",85,70
"4308","2015-5-16",85,70
"4342","2015-5-17",85,67
"4343","2015-5-17",85,67
"4376","2015-5-18",81,69
"4377","2015-5-18",81,69
"4409","2015-5-19",81,68
"4410","2015-5-19",81,68
"4451","2015-5-20",83,65
"4452","2015-5-20",83,65
"4478","2015-5-21",68,54
"4502","2015-5-22",72,51
"4503","2015-5-22",72,51
"4527","2015-5-23",82,61
"4528","2015-5-23",82,61
"4559","2015-5-24",86,70
"4560","2015-5-24",86,70
"4598","2015-5-25",85,64
"4599","2015-5-25",85,64
"4634","2015-5-26",81,63
"4635","2015-5-26",81,63
"4661","2015-5-27",85,67
"4662","2015-5-27",85,67
"4705","2015-5-28",84,68
"4706","2015-5-28",84,68
"4749","2015-5-29",88,67
"4750","2015-5-29",88,67
"4781","2015-5-30",84,69
"4782","2015-5-30",84,69
"4819","2015-5-31",75,66
"4820","2015-5-31",75,66
"4849","2015-6-1",77,65
"4850","2015-6-1",77,65
"4882","2015-6-2",80,64
"4883","2015-6-2",80,64
"4907","2015-6-3",81,65
"4908","2015-6-3",81,65
"4932","2015-6-4",87,66
"4933","2015-6-4",87,66
"4957","2015-6-5",91,67
"4958","2015-6-5",91,67
"4982","2015-6-6",90,71
"4983","2015-6-6",90,71
"5007","2015-6-7",94,71
"5008","2015-6-7",94,71
"5032","2015-6-8",93,75
"5033","2015-6-8",93,75
"5057","2015-6-9",94,72
"5058","2015-6-9",94,72
"5082","2015-6-10",94,70
"5083","2015-6-10",94,70
"5107","2015-6-11",94,72
"5108","2015-6-11",94,72
"5135","2015-6-12",92,75
"5136","2015-6-12",92,75
"5165","2015-6-13",87,74
"5166","2015-6-13",87,74
"5200","2015-6-14",91,74
"5201","2015-6-14",91,73
"5229","2015-6-15",91,73
"5230","2015-6-15",91,73
"5258","2015-6-16",92,74
"5285","2015-6-17",92,73
"5286","2015-6-17",92,73
"5329","2015-6-18",84,74
"5330","2015-6-18",84,74
"5361","2015-6-19",90,73
"5362","2015-6-19",90,73
"5387","2015-6-20",93,71
"5388","2015-6-20",93,71
"5412","2015-6-21",91,75
"5413","2015-6-21",91,75
"5437","2015-6-22",93,73
"5438","2015-6-22",93,73
"5462","2015-6-23",96,76
"5463","2015-6-23",96,76
"5487","2015-6-24",99,77
"5488","2015-6-24",99,77
"5512","2015-6-25",96,74
"5513","2015-6-25",96,74
"5552","2015-6-26",94,71
"5553","2015-6-26",94,71
"5584","2015-6-27",85,71
"5585","2015-6-27",85,71
"5609","2015-6-28",89,68
"5610","2015-6-28",89,68
"5634","2015-6-29",94,71
"5635","2015-6-29",94,71
"5659","2015-6-30",92,75
"5660","2015-6-30",92,75
"5685","2015-7-1",91,74
"5711","2015-7-2",92,77
"5712","2015-7-2",92,77
"5763","2015-7-3",79,70
"5764","2015-7-3",79,70
"5802","2015-7-4",85,70
"5803","2015-7-4",85,70
"5836","2015-7-5",86,71
"5837","2015-7-5",86,71
"5867","2015-7-6",90,69
"5868","2015-7-6",90,69
"5892","2015-7-7",92,75
"5893","2015-7-7",92,75
"5919","2015-7-8",90,75
"5920","2015-7-8",90,75
"5944","2015-7-9",92,76
"5945","2015-7-9",92,76
"5969","2015-7-10",94,74
"5970","2015-7-10",94,74
"5994","2015-7-11",94,76
"5995","2015-7-11",94,76
"6019","2015-7-12",95,75
"6020","2015-7-12",95,75
"6044","2015-7-13",95,77
"6045","2015-7-13",95,77
"6069","2015-7-14",96,79
"6070","2015-7-14",96,79
"6110","2015-7-15",98,75
"6111","2015-7-15",98,75
"6135","2015-7-16",94,75
"6136","2015-7-16",94,75
"6160","2015-7-17",95,75
"6161","2015-7-17",95,75
"6185","2015-7-18",96,76
"6186","2015-7-18",96,76
"6210","2015-7-19",97,76
"6211","2015-7-19",97,76
"6236","2015-7-20",98,76
"6237","2015-7-20",98,76
"6262","2015-7-21",94,76
"6263","2015-7-21",94,76
"6287","2015-7-22",94,76
"6288","2015-7-22",94,76
"6314","2015-7-23",95,77
"6315","2015-7-23",95,77
"6339","2015-7-24",99,79
"6340","2015-7-24",99,79
"6365","2015-7-25",99,80
"6366","2015-7-25",99,80
"6390","2015-7-26",97,77
"6391","2015-7-26",97,77
"6415","2015-7-27",97,76
