Incident Number,District,Offense Description,Incident Address,Incident Date
2015-033239,54,Theft of property Felony,"3500 ARAPAHO
Little Rock, Arkansas
(34.660946, -92.318665)",3/28/15
2015-130187,64,Breaking or Entering Vehicle,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",11/12/2015-11/13/2015
2015-098055,53,Theft of property Misd,"1201 S WOODROW ST
Little Rock, Arkansas
(34.739556, -92.305772)",8/27/15
2014-014783,64,Theft of property Misd,"213 WEDGEWOOD RD
Little Rock, Arkansas
(34.751751, -92.381344)",02/08/2014-02/09/2014
2015-094696,63,Breaking or Entering Vehicle,"9500 SATTERFIELD DR
Little Rock, Arkansas
(34.76213, -92.381148)",8/19/15
2014-045494,64,Breaking or Entering Vehicle,"2412 FOREST CREEK DR
Little Rock, Arkansas
(34.732609, -92.40599)",04/26/2014-04/26/2014
2015-008569,80,Theft of property Felony,"68 HILL LN
Little Rock, Arkansas
(34.698578, -92.334586)",1/23/15
2015-135466,81,Burglary Commercial,"2715 W 65TH ST
Little Rock, Arkansas
(34.689211, -92.308239)",11/27/15
2015-050415,50,Theft of property Misd,"1921 N MONROE ST
Little Rock, Arkansas
(34.769802, -92.32748)",05/08/2015-05/09/2015
2015-138749,72,Theft of property Misd,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",12/1/15
2015-078901,50,Breaking or Entering Vehicle,"300 N SCHILLER ST
Little Rock, Arkansas
(34.752715, -92.295163)",7/13/15
2015-127454,63,Breaking or Entering Vehicle,"1912 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.769154, -92.403696)",11/05/2015-11/06/2015
2015-016863,71,Theft of property Misd,"12801 CHENAL
Little Rock, Arkansas
(34.754504, -92.416779)",2/13/15
2015-115287,72,Theft of property Felony,"16105 CHENAL
Little Rock, Arkansas
(34.758117, -92.448661)",10/6/15
2015-004621,81,Theft of property Felony,"8610 GEYER SPRINGS RD
Little Rock, Arkansas
(34.671646, -92.344208)",09/23/2014-12/07/2014
2015-073827,71,Theft of property Felony,"1323 GLENEAGLES LN
Little Rock, Arkansas
(34.765694, -92.41301)",7/2/15
2015-045854,42,Theft of property lost mislaid or delivered by mistake Felony,"6704 DOVE LN
Little Rock, Arkansas
(34.717902, -92.19448)",03/02/2015-04/28/2015
2015-063154,91,Theft of property Felony,"11500 CHICOT RD
Little Rock, Arkansas
(34.647283, -92.3635)",6/8/15
2015-081163,53,Homicide,"1624 S CEDAR ST
Little Rock, Arkansas
(34.736086, -92.318092)",7/18/15
2015-124189,64,Theft of property Misd,"9601 BAPTIST HEALTH DR
Little Rock, Arkansas
(34.745812, -92.38368)",5/1/15
2015-007901,64,Theft of property Felony,"3512 MALLOY ST
Little Rock, Arkansas
(34.721175, -92.375175)",01/19/2015-01/21/2015
2014-127587,93,Burglary Commercial,"9121 SIBLEY HOLE RD
Little Rock, Arkansas
(34.668, -92.397702)",10/31/2014-11/03/2014
2015-059383,42,Theft of property Felony,"7 RED APPLE CV
Little Rock, Arkansas
(34.706766, -92.213467)",5/30/15
2015-075127,61,Theft of property Misd,"111 BROWN ST
Little Rock, Arkansas
(34.750601, -92.309792)",7/5/15
2015-115319,81,Burglary - Residential,"6600 LANCASTER RD
Little Rock, Arkansas
(34.689068, -92.334174)",10/7/15
2015-011099,52,Battery 2nd degree,"600 W CHARLES BUSSEY AV
Little Rock, Arkansas
(34.729739, -92.280419)",1/29/15
2014-146443,41,Breaking or Entering Vehicle,"2300 S COMMERCE ST
Little Rock, Arkansas
(34.726265, -92.268918)",12/20/2014-12/21/2014
2015-068640,81,Theft of property Felony,"5713 MEADOWLARK DR
Little Rock, Arkansas
(34.687314, -92.340022)",6/20/15
2015-000793,60,Breaking or Entering Vehicle,"9 BERTWOOD DR
Little Rock, Arkansas
(34.750491, -92.356232)",11/01/2014-12/01/2014
2014-016301,63,Theft of property Misd,"9716 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.762055, -92.382877)",02/12/2014-02/13/2014
2015-002503,60,Burglary - Residential,"7200 APACHE RD
Little Rock, Arkansas
(34.751446, -92.353395)",1/7/15
2015-033647,70,Theft of property Misd,"504 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.758872, -92.400439)",3/24/15
2014-145366,52,Theft of property Misd,"1800 BROADWAY ST
Little Rock, Arkansas
(34.73147, -92.278489)",12/17/2014-12/18/2014
2015-072327,82,Theft of property Felony,"8015 GEYER SPRINGS RD
Little Rock, Arkansas
(34.676436, -92.34392)",6/29/15
2015-061790,63,Breaking or Entering Vehicle,"16 RESERVOIR HEIGHTS DR
Little Rock, Arkansas
(34.761998, -92.37476)",6/5/15
2015-135383,62,Burglary - Residential,"6310 COLONEL GLENN RD
Little Rock, Arkansas
(34.717773, -92.346014)",11/26/15
2015-093493,62,Theft of property Felony,"7101 TALMAGE DR
Little Rock, Arkansas
(34.726644, -92.354096)",8/16/15
2014-010734,72,Theft of property Felony,"5701 RANCH DR
Little Rock, Arkansas
(34.80725, -92.460891)",01/06/2014-01/17/2014
2015-098881,80,Theft of property Misd,"5200 W 65TH ST
Little Rock, Arkansas
(34.690402, -92.334712)",8/29/15
2015-070619,50,Theft of property Misd,"2322 CANTRELL RD
Little Rock, Arkansas
(34.755843, -92.298361)",6/25/15
2015-075249,71,Theft of property Misd,"12309 CHENAL
Little Rock, Arkansas
(34.752127, -92.41279)",7/5/15
2015-131116,64,Aggravated Robbery (Individual),"11500 W MARKHAM ST
Little Rock, Arkansas
(34.75402, -92.403899)",11/15/15
2015-046960,53,Burglary - Residential,"2115 S OAK ST
Little Rock, Arkansas
(34.731789, -92.316213)",4/30/15
2015-101886,52,Theft of property lost mislaid or delivered by mistake Felony,"1500 S PARK ST
Little Rock, Arkansas
(34.736879, -92.297799)",9/4/15
2014-015790,60,Theft of property Misd,"7575 CANTRELL RD
Little Rock, Arkansas
(34.771157, -92.356691)",02/09/2014-02/10/2014
2015-065851,61,Breaking or Entering Vehicle,"57 GLENMERE DR
Little Rock, Arkansas
(34.73243, -92.348747)",06/11/2015-06/13/2015
2014-138408,52,Theft of property Misd,"1910 W 29TH ST
Little Rock, Arkansas
(34.721426, -92.295318)",11/29/2014-11/30/2014
2015-085661,50,Breaking or Entering Vehicle,"1402 N PIERCE ST
Little Rock, Arkansas
(34.765286, -92.337925)",07/28/2015-07/29/2015
2015-110228,64,Theft of property Misd,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",9/25/15
2015-026259,50,Breaking or Entering Vehicle,"5101 H ST
Little Rock, Arkansas
(34.759499, -92.330373)",3/12/15
2015-023600,70,Theft of property Misd,"11525 CANTRELL RD
Little Rock, Arkansas
(34.79372, -92.399701)",3/4/15
2015-009879,60,Theft of property Misd,"6900 CANTRELL RD
Little Rock, Arkansas
(34.769606, -92.353236)",01/25/2015-01/26/2015
2015-106507,42,Arson,"1824 E CAPITOL
Little Rock, Arkansas
(34.743035, -92.24987)",9/16/15
2015-017745,64,Theft of property Misd,"9600 W 36TH ST
Little Rock, Arkansas
(34.720905, -92.379847)",2/15/15
2014-140913,60,Breaking or Entering Vehicle,"509 CHICKADEE DR
Little Rock, Arkansas
(34.748035, -92.346189)",12/06/2014-12/07/2014
2015-051268,53,Theft of property Misd,"1923 BOOKER ST
Little Rock, Arkansas
(34.732901, -92.307229)",4/30/15
2015-016725,71,Breaking or Entering Vehicle,"3115 S BOWMAN RD
Little Rock, Arkansas
(34.727704, -92.408966)",02/12/2015-02/13/2015
2015-014833,50,Theft of property Misd,"1501 N UNIVERSITY AV
Little Rock, Arkansas
(34.766154, -92.340641)",2/8/15
2015-091708,64,Theft of property Felony,"2616 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729982, -92.394845)",8/10/15
2015-106757,62,Burglary - Residential,"6 ALAMEDA DR
Little Rock, Arkansas
(34.726744, -92.348666)",09/12/2015-09/13/2015
2015-074085,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",7/3/15
2015-140764,50,Theft of property Felony,"1900 N POLK ST
Little Rock, Arkansas
(34.769167, -92.334718)",12/11/15
2015-009898,54,Theft of property Misd,"4318 W 17TH ST
Little Rock, Arkansas
(34.735877, -92.322356)",01/22/2015-01/26/2015
2015-088382,64,Breaking or Entering Vehicle,"23 BRETAGNE
Little Rock, Arkansas
(34.770189, -92.463971)",8/4/15
2014-054014,64,Theft of property Misd,"11401 MESA DR
Little Rock, Arkansas
(34.756846, -92.401087)",05/16/2014-05/17/2014
2015-048799,40,Theft of property Misd,"1200 S COMMERCE ST
Little Rock, Arkansas
(34.73737, -92.26753)",5/5/15
2014-091576,82,Theft of property Felony,"6710 ELMORE RD
Little Rock, Arkansas
(34.659003, -92.353219)",08/11/2014-08/12/2014
2015-105529,61,Aggravated assault on an family or household member,"10 BARBARA DR
Little Rock, Arkansas
(34.732026, -92.346753)",9/13/15
2015-097574,60,Battery 2nd degree,"6317 W MARKHAM ST
Little Rock, Arkansas
(34.752421, -92.345108)",8/26/15
2015-090272,92,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",8/8/15
2015-019977,43,Burglary Commercial,"4748 SPRINGER
Little Rock, Arkansas
(34.705465, -92.246609)",2/22/15
2015-049862,40,Breaking or Entering Vehicle,"1516 CUMBERLAND ST
Little Rock, Arkansas
(34.733617, -92.270715)",5/8/15
2014-061534,52,Burglary - Residential,"1800 BROADWAY ST
Little Rock, Arkansas
(34.73147, -92.278489)",05/28/2014-06/01/2014
2015-096518,51,Theft of property Misd,"715 W 2ND ST
Little Rock, Arkansas
(34.748195, -92.278458)",8/24/15
2015-141423,82,Battery 1st degree,"7107 KNOLLWOOD RD
Little Rock, Arkansas
(34.664583, -92.357387)",12/12/15
2014-011392,54,Theft of property Felony,"4301 W MARKHAM ST
Little Rock, Arkansas
(34.751583, -92.320998)",01/30/2014-01/31/2014
2015-043521,52,Theft of property Felony,"2805 S SUMMIT ST
Little Rock, Arkansas
(34.722052, -92.296053)",4/22/15
2014-121976,61,Burglary - Residential,"801 S RODNEY PARHAM RD
Little Rock, Arkansas
(34.747571, -92.362848)",10/19/2014-10/20/2014
2015-098780,81,Aggravated assault,"8024 STANTON RD
Little Rock, Arkansas
(34.675746, -92.332831)",8/29/15
2015-014193,91,Burglary - Residential,"11500 CHICOT RD
Little Rock, Arkansas
(34.647283, -92.3635)",2/6/15
2015-117145,70,Theft of property Felony,"701 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.759776, -92.401328)",10/12/15
2014-085635,54,Burglary Commercial,"4424 ASHER AV
Little Rock, Arkansas
(34.723569, -92.323965)",07/28/2014-07/30/2014
2015-033944,63,Theft of property Misd,"10901 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771416, -92.395668)",3/31/15
2015-145229,61,Theft of property Felony,"516 S RODNEY PARHAM RD
Little Rock, Arkansas
(34.748907, -92.363335)",12/20/15
2014-123430,41,Theft of property Misd,"1821 BROADWAY ST
Little Rock, Arkansas
(34.73105, -92.278507)",10/23/2014-10/24/2014
2015-063268,71,Burglary - Residential,"1023 GAMBLE RD
Little Rock, Arkansas
(34.745404, -92.418277)",6/8/15
2015-074143,53,Theft of property Misd,"2701 S ELM ST
Little Rock, Arkansas
(34.726555, -92.319595)",7/3/15
2015-062621,63,Robbery (Individual),"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",6/6/15
2015-111163,53,Theft of property Felony,"3900 W 18TH ST
Little Rock, Arkansas
(34.735008, -92.317058)",9/26/15
2015-049071,50,Breaking or Entering Vehicle,"4710 CRESTWOOD DR
Little Rock, Arkansas
(34.766327, -92.325879)",5/6/15
2015-143114,80,Theft of property Misd,"4601 W 55TH ST
Little Rock, Arkansas
(34.700474, -92.32807)",12/14/2015-12/16/2015
2015-064031,40,Breaking or Entering Vehicle,"1509 S LOUISIANA ST
Little Rock, Arkansas
(34.734134, -92.274336)",06/09/2015-06/10/2015
2015-095771,50,Aggravated assault,"803 N VAN BUREN ST
Little Rock, Arkansas
(34.758949, -92.330099)",8/22/15
2014-085602,71,Breaking or Entering Vehicle,"20 SUMMIT RIDGE DR
Little Rock, Arkansas
(34.749222, -92.434573)",07/28/2014-07/29/2014
2014-120471,62,Burglary - Residential,"6310 COLONEL GLENN RD
Little Rock, Arkansas
(34.717773, -92.346014)",10/13/2014-10/17/2014
2015-082167,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",7/21/15
2014-084334,71,Breaking or Entering Vehicle,"1000 KIRBY RD
Little Rock, Arkansas
(34.745887, -92.429253)",07/25/2014-07/26/2014
2015-026142,70,Theft of property Misd,"609 MIMI LN
Little Rock, Arkansas
(34.759026, -92.39783)",3/10/15
2015-024637,90,Breaking or Entering Vehicle,"10 WALDRON
Little Rock, Arkansas
(34.698978, -92.412619)",03/06/2015-03/07/2015
2014-037655,53,Breaking or Entering Vehicle,"3800 W 18TH ST
Little Rock, Arkansas
(34.734953, -92.316293)",04/08/2014-04/09/2014
2015-127018,62,Burglary - Residential,"4114 GILMAN ST
Little Rock, Arkansas
(34.715339, -92.365565)",11/5/15
2015-126515,60,Theft of property Misd,"131 JEWELL RD
Little Rock, Arkansas
(34.780538, -92.355998)",11/4/15
2014-062507,61,Breaking or Entering Vehicle,"1701 WESTPARK DR
Little Rock, Arkansas
(34.737526, -92.3506)",06/05/2014-06/06/2014
2015-033467,51,Theft of property Misd,"908 S CROSS ST
Little Rock, Arkansas
(34.741473, -92.285087)",03/29/2015-03/30/2015
2015-096101,64,Breaking or Entering Vehicle,"3714 ELAM ST
Little Rock, Arkansas
(34.719393, -92.376326)",8/23/15
2014-000784,52,Theft of property Misd,"2701 S CROSS ST
Little Rock, Arkansas
(34.722618, -92.287426)",01/01/2014-01/02/2014
2015-090247,82,Theft of property Misd,"8821 GEYER SPRINGS RD
Little Rock, Arkansas
(34.669735, -92.34433)",8/8/15
2014-041103,64,Theft of property Misd,"8912 W 36TH ST
Little Rock, Arkansas
(34.720776, -92.374525)",04/01/2014-04/12/2014
2015-042604,63,Burglary - Residential,"1400 OLD FORGE DR
Little Rock, Arkansas
(34.765769, -92.383332)",4/20/15
2015-117619,51,Theft of property Misd,"625 W CAPITOL AV
Little Rock, Arkansas
(34.745092, -92.277946)",10/13/15
2015-030641,51,Theft of property Felony,"1017 THAYER ST
Little Rock, Arkansas
(34.741151, -92.301173)",3/20/15
2015-051979,62,Theft of property Misd,"6200 COLONEL GLENN RD
Little Rock, Arkansas
(34.7177, -92.343676)",5/13/15
2015-005464,63,Burglary - Residential,"1324 RESERVOIR RD
Little Rock, Arkansas
(34.764848, -92.376084)",1/15/15
2015-096622,51,Theft of property Misd,"600 S CHESTER ST
Little Rock, Arkansas
(34.744314, -92.282087)",08/21/2015-08/24/2015
2015-010556,80,Aggravated Robbery (Individual),"5500 PATTERSON RD
Little Rock, Arkansas
(34.698959, -92.325624)",1/28/15
2015-136270,64,Burglary - Residential,"11214 MESA DR
Little Rock, Arkansas
(34.756742, -92.398551)",11/27/2015-11/29/2015
2015-047526,54,Aggravated assault,"4400 W 11TH ST
Little Rock, Arkansas
(34.741645, -92.32259)",5/2/15
2015-046555,64,Theft of property Misd,"21 CORPORATE HILL DR
Little Rock, Arkansas
(34.751359, -92.387232)",4/10/15
2015-036750,62,Theft of property Misd,"4416 WALKER ST
Little Rock, Arkansas
(34.712788, -92.367199)",4/6/15
2014-149262,81,Burglary - Residential,"7412 AZALEA DR
Little Rock, Arkansas
(34.671236, -92.360504)",12/28/2014-12/29/2014
2015-098959,71,Breaking or Entering Vehicle,"1308 S BOWMAN RD
Little Rock, Arkansas
(34.742335, -92.407375)",8/29/15
2015-101364,52,Theft of property Misd,"1709 W 24TH ST
Little Rock, Arkansas
(34.726238, -92.292518)",9/4/15
2015-108369,54,Aggravated assault,"4117 W 12TH ST
Little Rock, Arkansas
(34.740586, -92.319652)",9/20/15
2015-008212,61,Breaking or Entering Vehicle,"24 POINT OWOODS DR
Little Rock, Arkansas
(34.731966, -92.343898)",1/22/15
2015-117448,41,Theft of property Misd,"1904 CUMBERLAND ST
Little Rock, Arkansas
(34.730223, -92.271212)",10/12/15
2015-146802,64,Theft of property Misd,"11801 CHENAL
Little Rock, Arkansas
(34.748791, -92.4054)",12/26/15
2015-040014,70,Breaking or Entering Vehicle,"85 VALLEY CLUB
Little Rock, Arkansas
(34.780106, -92.403628)",04/13/2015-04/14/2015
2015-122683,41,Breaking or Entering Vehicle,"314 W CHARLES BUSSEY AV
Little Rock, Arkansas
(34.729559, -92.276802)",10/24/15
2015-043827,91,Aggravated assault on an family or household member,"7213 TWIN OAKS RD
Little Rock, Arkansas
(34.663039, -92.358961)",4/23/15
2015-034028,70,Theft of property Felony,"1724 N SHACKLEFORD RD
Little Rock, Arkansas
(34.771244, -92.396322)",3/30/15
2014-072947,71,Breaking or Entering Vehicle,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",06/15/2014-06/30/2014
2015-028473,81,Theft of property Misd,"8108 FRENCHMANS LN
Little Rock, Arkansas
(34.6748, -92.346306)",3/17/15
2015-118601,54,Theft of property Misd,"4409 W 27TH ST
Little Rock, Arkansas
(34.727035, -92.323386)",10/15/15
2014-109855,40,Theft of property Felony,"201 E MARKHAM ST
Little Rock, Arkansas
(34.747838, -92.268378)",09/22/2014-09/23/2014
2014-124790,50,Theft of property Felony,"2600 CANTRELL RD
Little Rock, Arkansas
(34.758843, -92.305591)",10/12/2014-10/18/2014
2015-096476,80,Aggravated Robbery (Business),"3920 W 65TH ST
Little Rock, Arkansas
(34.689819, -92.319539)",8/24/15
2014-049449,51,Theft of recyclable materials,"1120 NORTH ST
Little Rock, Arkansas
(34.751715, -92.28246)",05/01/2014-05/06/2014
2014-059306,61,Theft of property Felony,"14 ROSEMONT DR
Little Rock, Arkansas
(34.728101, -92.342645)",05/20/2014-05/23/2014
2015-140639,93,Theft of property Felony,"1 AUGUSTA CT
Little Rock, Arkansas
(34.676014, -92.420544)",12/07/2015-12/10/2015
2015-133369,71,Breaking or Entering Vehicle,"1715 POINT WEST DR
Little Rock, Arkansas
(34.738689, -92.412109)",11/20/2015-11/21/2015
2015-135564,53,Theft of property Misd,"3124 W ROOSEVELT RD
Little Rock, Arkansas
(34.725628, -92.310531)",11/27/15
2015-040005,70,Theft of property Misd,"28 PORTLAND RD
Little Rock, Arkansas
(34.78782, -92.424487)",4/13/15
2014-124619,60,Theft of property Felony,"7000 CANTRELL RD
Little Rock, Arkansas
(34.769496, -92.35307)",10/24/2014-10/27/2014
2015-047482,64,Theft of property Misd,"201 S SHACKLEFORD RD
Little Rock, Arkansas
(34.752626, -92.393922)",5/2/15
2014-143822,80,Theft of property Felony,"1910 W 65TH ST
Little Rock, Arkansas
(34.688851, -92.302628)",12/13/2014-12/15/2014
2015-132105,61,Domestic Battering 2nd degree,"801 S RODNEY PARHAM RD
Little Rock, Arkansas
(34.747571, -92.362848)",9/23/15
2015-142760,64,Theft of property Misd,"2608 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729928, -92.394847)",12/02/2014-12/04/2015
2015-105753,90,Theft of property Misd,"5123 TIMBERLAND DR
Little Rock, Arkansas
(34.70553, -92.385811)",9/11/15
2015-025215,50,Burglary - Residential,"5105 KAVANAUGH
Little Rock, Arkansas
(34.770007, -92.330571)",3/9/15
2015-144593,71,Theft of property Misd,"900 S BOWMAN RD
Little Rock, Arkansas
(34.7465, -92.407221)",12/20/15
2015-094852,71,Burglary - Residential,"1602 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768691, -92.403718)",08/19/2015-08/20/2015
2015-066856,70,Aggravated assault,"1601 N SHACKLEFORD RD
Little Rock, Arkansas
(34.768212, -92.395807)",6/16/15
2015-080005,90,Theft of property Felony,"5 BOGEY LN
Little Rock, Arkansas
(34.674396, -92.431338)",7/16/15
2015-089279,53,Theft of property Felony,"3917 W 12TH ST
Little Rock, Arkansas
(34.740479, -92.317341)",7/24/15
2015-106363,91,Homicide,"10018 CHICOT RD
Little Rock, Arkansas
(34.659205, -92.362987)",9/15/15
2015-115900,62,Burglary Commercial,"3525 JOHN BARROW RD
Little Rock, Arkansas
(34.721184, -92.373006)",10/9/15
2015-103206,52,Breaking or Entering Vehicle,"2718 S BATTERY ST
Little Rock, Arkansas
(34.723023, -92.294565)",9/8/15
2015-007703,63,Robbery (Business),"9500 SATTERFIELD DR
Little Rock, Arkansas
(34.76213, -92.381148)",1/20/15
2014-113425,53,Burglary - Residential,"2016 S VALENTINE ST
Little Rock, Arkansas
(34.732334, -92.313867)",09/30/2014-10/01/2014
2015-049568,90,Theft of property Misd,"13420 DAVID O DODD RD
Little Rock, Arkansas
(34.706041, -92.413096)",5/5/15
2015-131302,93,Burglary - Residential,"9400 STAGECOACH RD
Little Rock, Arkansas
(34.665557, -92.421922)",11/16/15
2015-109671,50,Burglary - Residential,"328 N SUMMIT ST
Little Rock, Arkansas
(34.75365, -92.293965)",9/23/15
2015-129959,60,Breaking or Entering Vehicle,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752342, -92.343181)",11/12/15
2015-098035,50,Burglary - Residential,"3711 OAKWOOD RD
Little Rock, Arkansas
(34.759499, -92.314339)",8/27/15
2015-061579,64,Theft of property Misd,"21 CORPORATE HILL DR
Little Rock, Arkansas
(34.751359, -92.387232)",6/3/15
2014-059695,53,Theft of property Misd,"318 FERN AV
Little Rock, Arkansas
(34.747895, -92.303834)",05/30/2014-05/31/2014
2015-065819,63,Breaking or Entering Vehicle,"10005 RONALD DR
Little Rock, Arkansas
(34.755068, -92.386186)",06/13/2015-06/14/2015
2015-127470,80,Aggravated assault,"6 MELDIA DR
Little Rock, Arkansas
(34.702272, -92.333716)",11/6/15
2014-086624,71,Theft of property Felony,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",07/20/2014-07/30/2014
2015-052945,53,Burglary - Residential,"1723 S ELM ST
Little Rock, Arkansas
(34.73524, -92.319247)",05/12/2015-05/14/2015
2015-002171,93,Burglary - Residential,"9400 STAGECOACH RD
Little Rock, Arkansas
(34.665557, -92.421922)",1/6/15
2015-072638,71,Theft of property Misd,"13200 CHENAL
Little Rock, Arkansas
(34.755053, -92.421369)",06/29/2015-06/30/2015
2015-015705,81,Theft of property Misd,"6100 MITCHELL DR
Little Rock, Arkansas
(34.677294, -92.345445)",2/10/15
2015-071950,50,Breaking or Entering Vehicle,"318 RIDGEWAY DR
Little Rock, Arkansas
(34.753752, -92.311596)",6/28/15
2014-109796,50,Breaking or Entering Vehicle,"1403 REBSAMEN PARK RD
Little Rock, Arkansas
(34.76348, -92.310074)",09/22/2012-09/23/2014
2015-012802,50,Burglary - Residential,"3802 KAVANAUGH
Little Rock, Arkansas
(34.764137, -92.329414)",02/01/2015-02/02/2015
2015-056184,91,Theft of property Misd,"6911 REDWOOD DR
Little Rock, Arkansas
(34.663714, -92.355436)",5/22/15
2015-039309,82,Theft of property Felony,"3700 AMERICAN MANOR DR
Little Rock, Arkansas
(34.662506, -92.32016)",4/12/15
2015-016222,71,Breaking or Entering Vehicle,"3115 S BOWMAN RD
Little Rock, Arkansas
(34.727704, -92.408966)",2/11/15
2015-077820,64,Theft of property Misd,"8900 KANIS RD
Little Rock, Arkansas
(34.740305, -92.372671)",7/11/15
2015-128676,82,Burglary - Residential,"43 WARREN DR
Little Rock, Arkansas
(34.66182, -92.353841)",11/9/15
2015-017730,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",2/15/15
2015-131609,71,Theft of property Misd,"620 S BOWMAN RD
Little Rock, Arkansas
(34.748158, -92.407143)",11/17/15
2014-123160,71,Theft of property Misd,"5 ROYAL CT
Little Rock, Arkansas
(34.766273, -92.40965)",10/20/2014-10/21/2014
2015-013332,50,Theft of property Felony,"1024 N POLK ST
Little Rock, Arkansas
(34.760821, -92.334446)",2/4/15
2015-076182,62,Theft of property Felony,"4219 ZION ST
Little Rock, Arkansas
(34.714518, -92.367798)",05/01/2015-07/07/2015
2015-099201,81,Breaking or Entering Vehicle,"6100 MITCHELL DR
Little Rock, Arkansas
(34.677294, -92.345445)",8/30/15
2014-115795,60,Breaking or Entering Vehicle,"1201 N GARFIELD ST
Little Rock, Arkansas
(34.762429, -92.341938)",10/05/2014-10/06/2014
2014-149284,82,Burglary Commercial,"8216 ARCH
Little Rock, Arkansas
(34.674193, -92.303379)",12/27/2014-12/29/2014
2014-138933,60,Theft of property Misd,"111 S MCKINLEY ST
Little Rock, Arkansas
(34.752361, -92.345512)",12/01/2014-12/02/2014
2015-060974,51,Theft of property Felony,"700 W MARKHAM ST
Little Rock, Arkansas
(34.74909, -92.277695)",5/30/15
2015-024541,62,Aggravated Robbery (Individual),"6420 COLONEL GLENN RD
Little Rock, Arkansas
(34.717837, -92.346894)",3/7/15
2014-073356,71,Breaking or Entering Vehicle,"13703 IVY POINT DR
Little Rock, Arkansas
(34.746333, -92.425685)",06/30/2014-07/01/2014
2015-043226,63,Breaking or Entering Vehicle,"300 MARKHAM CENTER DR
Little Rock, Arkansas
(34.756039, -92.38975)",04/21/2015-04/22/2015
2014-141284,42,Theft of property Felony,"920 APPERSON ST
Little Rock, Arkansas
(34.737894, -92.242457)",11/30/2014-12/08/2014
2014-079332,42,Burglary - Residential,"2005 E 6TH ST
Little Rock, Arkansas
(34.741998, -92.247518)",07/12/2014-07/14/2014
2015-068606,60,Theft of property Misd,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752342, -92.343181)",6/20/15
2015-131102,93,Burglary - Residential,"12109 STAGECOACH RD
Little Rock, Arkansas
(34.648004, -92.436876)",11/15/15
2014-054029,82,Breaking or Entering Vehicle,"5907 DREXEL AV
Little Rock, Arkansas
(34.658378, -92.343867)",05/17/2014-05/18/2014
2015-096654,93,Theft of property Misd,"1 CRYSTALWOOD DR
Little Rock, Arkansas
(34.680981, -92.422874)",8/24/15
2015-106692,71,Theft of property Misd,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",9/16/15
2015-092663,53,Burglary - Residential,"408 MAPLE ST
Little Rock, Arkansas
(34.748128, -92.314306)",8/14/15
2014-126925,51,Burglary - Residential,"2510 W 11TH ST
Little Rock, Arkansas
(34.740885, -92.301838)",10/31/2014-11/01/2014
2015-049990,64,Burglary - Residential,"3711 HOLT ST
Little Rock, Arkansas
(34.719432, -92.377413)",05/07/2015-05/08/2015
2015-001155,70,Theft of property Felony,"2507 ARKANSAS VALLEY DR
Little Rock, Arkansas
(34.77609, -92.394518)",12/28/2014-01/03/2015
2015-144616,60,Burglary - Residential,"53 FLAG RD
Little Rock, Arkansas
(34.747177, -92.355515)",12/21/15
2014-092029,81,Theft of property Felony,"5300 BASELINE RD
Little Rock, Arkansas
(34.668813, -92.336695)",08/12/2014-08/13/2014
2015-117604,52,Aggravated assault on an family or household member,"1904 W 29TH ST
Little Rock, Arkansas
(34.721422, -92.295236)",10/13/15
2015-088116,61,Theft of property Misd,"2801 S UNIVERSITY AV
Little Rock, Arkansas
(34.723214, -92.341969)",8/3/15
2015-070989,91,Breaking or Entering Vehicle,"6401 BASELINE RD
Little Rock, Arkansas
(34.669399, -92.351701)",6/25/15
2015-076474,51,Theft of property Misd,"700 W MARKHAM ST
Little Rock, Arkansas
(34.74909, -92.277695)",7/7/15
2014-088725,72,Theft of property Felony,"1501 RAHLING RD
Little Rock, Arkansas
(34.771185, -92.452331)",07/29/2014-07/30/2014
2014-032012,82,Burglary - Residential,"7101 REDWOOD DR
Little Rock, Arkansas
(34.663773, -92.357224)",03/25/2014-03/26/2014
