Incident Number,District,Offense Description,Incident Address,Incident Date
2015-146086,82,Battery 2nd degree,"3400 ARAPAHO CT
Little Rock, Arkansas",12/24/15
2015-147920,82,Battery 2nd degree,"6512 MABELVALE CUTOFF CO
Little Rock, Arkansas",12/29/15
2015-004327,40,Breaking or Entering Vehicle,"100 E LAHARPE
Little Rock, Arkansas",1/12/15
2015-006208,81,Breaking or Entering Vehicle,"121 E CAPITAL ST
Little Rock, Arkansas",1/17/15
2015-008572,91,Breaking or Entering Vehicle,"8401 OXFORD VALLEY DR
Little Rock, Arkansas",1/23/15
2015-008556,91,Breaking or Entering Vehicle,"8 CHURCHILL DR
Little Rock, Arkansas",1/23/15
2015-009044,54,Breaking or Entering Vehicle,"2321 FAIR PARK
Little Rock, Arkansas",1/24/15
2015-009772,91,Breaking or Entering Vehicle,"8900 SHILOH DR
Little Rock, Arkansas",1/25/15
2015-012534,93,Breaking or Entering Vehicle,"13600 OTTER CREEK
Little Rock, Arkansas",2/2/15
2015-018790,91,Breaking or Entering Vehicle,"11201 APPOMATTOX DR
Little Rock, Arkansas",2/19/15
2015-022563,72,Breaking or Entering Vehicle,"6426 THE DIVIDE
Little Rock, Arkansas",3/1/15
2015-026249,90,Breaking or Entering Vehicle,"401 COLONEL GLENN PLAZA
Little Rock, Arkansas",3/12/15
2015-028464,92,Breaking or Entering Vehicle,"28 PONDS EDGE LN
Little Rock, Arkansas",3/16/15
2015-035546,93,Breaking or Entering Vehicle,"9 WIMBLEDON GREEN
Little Rock, Arkansas",4/3/15
2015-039991,92,Breaking or Entering Vehicle,"10800 W I-30 HW
Little Rock, Arkansas",4/14/15
2015-045120,93,Breaking or Entering Vehicle,"5 WIMBLEDON GREEN
Little Rock, Arkansas",4/26/15
2015-045055,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",4/26/15
2015-045029,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",4/26/15
2015-045028,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",4/26/15
2015-044997,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",4/26/15
2015-044972,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",4/26/15
2015-044951,93,Breaking or Entering Vehicle,"14 WIMBLEDON GREEN
Little Rock, Arkansas",4/26/15
2015-050665,91,Breaking or Entering Vehicle,"10603 LEGION HUT RD
Little Rock, Arkansas",5/9/15
2015-055345,92,Breaking or Entering Vehicle,"12609 VIMY RIDGE RD
Little Rock, Arkansas",5/20/15
2015-056772,71,Breaking or Entering Vehicle,"21 MARKHAM PLACE
Little Rock, Arkansas",5/24/15
2015-060855,64,Breaking or Entering Vehicle,"10900 FINANCIAL CENTRE
Little Rock, Arkansas",6/2/15
2015-064164,54,Breaking or Entering Vehicle,"3201 FAIR PARK
Little Rock, Arkansas",6/9/15
2015-063641,70,Breaking or Entering Vehicle,"0 CANTRELL RD
Little Rock, Arkansas",6/9/15
2015-065058,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",6/12/15
2015-065339,64,Breaking or Entering Vehicle,"11301 FINANCIAL CENTRE
Little Rock, Arkansas",6/13/15
2015-070417,80,Breaking or Entering Vehicle,"3401 FAIR PARK
Little Rock, Arkansas",6/15/15
2015-066623,71,Breaking or Entering Vehicle,"11800 PLESANT RIDGE DR
Little Rock, Arkansas",6/16/15
2015-068451,70,Breaking or Entering Vehicle,"11720 PLEASANT RIDGE
Little Rock, Arkansas",6/20/15
2015-069557,92,Breaking or Entering Vehicle,"11205 OTTER CREEK SOUTH RD
Little Rock, Arkansas",6/22/15
2015-070153,71,Breaking or Entering Vehicle,"15501 CAPITOL HILL
Little Rock, Arkansas",6/24/15
2015-070025,71,Breaking or Entering Vehicle,"15509 CAPITOL HILL
Little Rock, Arkansas",6/24/15
2015-069971,71,Breaking or Entering Vehicle,"15505 CAPITOL HILL
Little Rock, Arkansas",6/24/15
2015-072814,92,Breaking or Entering Vehicle,"10219 SIBLEY HOLE RD
Little Rock, Arkansas",6/29/15
2015-072592,91,Breaking or Entering Vehicle,"7704 CLAYBROOK RD
Little Rock, Arkansas",6/30/15
2015-074022,62,Breaking or Entering Vehicle,"7919 COL GLENN RD
Little Rock, Arkansas",7/3/15
2015-079631,40,Breaking or Entering Vehicle,"100 S FERRY ST
Little Rock, Arkansas",7/15/15
2015-079466,90,Breaking or Entering Vehicle,"9424 WOODLAND DR
Little Rock, Arkansas",7/15/15
2015-079380,90,Breaking or Entering Vehicle,"0 FRONTAGE RD
Little Rock, Arkansas",7/15/15
2015-084211,63,Breaking or Entering Vehicle,"8500 CASTLE VALLEY RD
Little Rock, Arkansas",7/24/15
2015-084291,81,Breaking or Entering Vehicle,"0 W 65TH ST
Little Rock, Arkansas",7/25/15
