IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-092178,71,BREAKING OR ENTERING VEHICLE,"14004 FLATROCK POINT
Little Rock, Arkansas",8/16/16
2016-097820,53,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",8/30/16 0:00
2016-098407,50,BREAKING OR ENTERING VEHICLE,"3000 W W MARKHAM ST CV
Little Rock, Arkansas",9/1/16 0:00
2016-103255,90,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",9/13/16
2016-108642,90,BREAKING OR ENTERING VEHICLE,"6701 N CHICOT RD
Little Rock, Arkansas",9/18/16
2016-108993,91,BREAKING OR ENTERING VEHICLE,"8505 SHILOH DR
Little Rock, Arkansas",9/27/16
2016-108982,91,BREAKING OR ENTERING VEHICLE,"8212 OXFORD VALLEY DR
Little Rock, Arkansas",9/27/16
2016-119268,51,BREAKING OR ENTERING VEHICLE,"0 INTERSTATE 630
Little Rock, Arkansas",10/22/16
2016-143426,90,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",12/14/16
2016-140416,71,BREAKING OR ENTERING VEHICLE,"420 NAPA VALLEY DR
Little Rock, Arkansas",12/14/16
2016-145614,93,BREAKING OR ENTERING VEHICLE,"11000 APPOMATTOX DR
Little Rock, Arkansas",12/29/16
2016-007727,91,BREAKING OR ENTERING VEHICLE,"7721 CLAYBROOK RD
Little Rock, Arkansas",01/20/2016-01/21/2016
2016-008437,92,BREAKING OR ENTERING VEHICLE,"11311 ALEXANDER RD
Little Rock, Arkansas",01/21/2016-01/23/2016
2016-013779,93,BREAKING OR ENTERING VEHICLE,"607 STAGECOACH VILLAGE CIR
Little Rock, Arkansas",02/05/2016-02/06/2016
2016-015284,40,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",02/05/2016-02/08/2016
2016-015223,61,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",02/09/2016-02/10/2016
2016-018054,91,BREAKING OR ENTERING VEHICLE,"11506 LEGION HUT RD
Little Rock, Arkansas",02/17/2016-02/18/2016
2016-029593,91,BREAKING OR ENTERING VEHICLE,"8520 KENNESAW MOUNTAIN DR
Little Rock, Arkansas",03/17/2016-03/18/2016
2016-029529,91,BREAKING OR ENTERING VEHICLE,"8808 PEA RIDGE CIR
Little Rock, Arkansas",03/17/2016-03/18/2016
2016-029513,91,BREAKING OR ENTERING VEHICLE,"8802 PEA RIDGE CIR
Little Rock, Arkansas",03/17/2016-03/18/2016
2016-034624,91,BREAKING OR ENTERING VEHICLE,"12 OLD ORCHARD DR
Little Rock, Arkansas",03/30/2016-03/31/2016
2016-036405,91,BREAKING OR ENTERING VEHICLE,"9800 LEAH LN
Little Rock, Arkansas",04/03/2016-04/04/2016
2016-043299,91,BREAKING OR ENTERING VEHICLE,"8402 UNIVERSITY RD
Little Rock, Arkansas",04/04/2016-04/21/2016
2016-100079,91,BREAKING OR ENTERING VEHICLE,"11 WHISPERING OAK DR
Little Rock, Arkansas",09/04/2016-09/05/2016
2016-101382,63,BREAKING OR ENTERING VEHICLE,"7 RICE ST
Little Rock, Arkansas",09/07/2016-09/08/2016
