IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-090411,72,THEFT OF PROPERTY FELONY,"19301 CANTRELL RD
Little Rock, Arkansas
(34.810854, -92.484164)",8/11/16
2016-001555,60,THEFT OF PROPERTY FELONY,"420 S UNIVERSITY AVE
Little Rock, Arkansas
(34.749245, -92.3413)",1/4/16
2016-068859,62,THEFT OF PROPERTY FELONY,"8617 NANCY PL
Little Rock, Arkansas
(34.703198, -92.367149)",6/20/16
2016-115646,63,THEFT OF PROPERTY FELONY,"7601 CANTRELL RD
Little Rock, Arkansas
(34.77206, -92.358451)",10/5/16
2016-050237,72,THEFT OF PROPERTY FELONY,"20900 CHENAL PKWY
Little Rock, Arkansas
(34.802483, -92.477752)",5/8/16
2016-115882,51,THEFT OF PROPERTY FELONY,"1010 WOLFE ST
Little Rock, Arkansas
(34.741072, -92.292779)",10/13/2016-01/01/1900
2016-143870,43,THEFT OF PROPERTY FELONY,"3701 SPRINGER BLVD
Little Rock, Arkansas
(34.7119, -92.254642)",12/24/16
2016-109878,70,THEFT OF PROPERTY FELONY,"14000 CANTRELL RD
Little Rock, Arkansas
(34.802565, -92.43001)",9/29/16
2016-122299,52,THEFT OF PROPERTY FELONY,"1803 THAYER ST
Little Rock, Arkansas
(34.733599, -92.301551)",10/08/2016-10/27/2016
2016-077949,43,THEFT OF PROPERTY FELONY,"2115 MCALMONT ST
Little Rock, Arkansas
(34.727666, -92.263859)",7/12/2016-7/13/2016
2016-090550,40,THEFT OF PROPERTY FELONY,"1409 S LOUISIANA ST
Little Rock, Arkansas
(34.735431, -92.27407)",8/12/16
2016-065536,50,THEFT OF PROPERTY FELONY,"2400 RIVERFRONT DR
Little Rock, Arkansas
(34.773941, -92.310425)",6/14/16
2016-016404,61,THEFT OF PROPERTY FELONY,"6187 BOYLE PARK RD
Little Rock, Arkansas
(34.735224, -92.343543)",4/19/14
2016-070124,61,THEFT OF PROPERTY FELONY,"820 S RODNEY PARHAM RD
Little Rock, Arkansas
(34.746616, -92.361518)",6/23/2016-6/24/2016
2016-123302,70,THEFT OF PROPERTY FELONY,"11525 CANTRELL RD
Little Rock, Arkansas
(34.79372, -92.399701)",10/31/2016-11/01/2016
2016-107412,64,THEFT OF PROPERTY FELONY,"2922 LUDWIG ST
Little Rock, Arkansas
(34.726274, -92.373929)",09/22/2016-09/23/2016
2016-026028,70,THEFT OF PROPERTY FELONY,"4220 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.791281, -92.396894)",3/8/16
2016-124701,63,THEFT OF PROPERTY FELONY,"11102 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771509, -92.397097)",11/4/16
2016-014445,91,THEFT OF PROPERTY FELONY,"7212 YARBERRY LN
Little Rock, Arkansas
(34.644048, -92.359595)",02/05/2016-02/08/2016
2016-022548,81,THEFT OF PROPERTY FELONY,"8703 GEYER SPRINGS RD
Little Rock, Arkansas
(34.6718, -92.344197)",2/29/16
2016-097853,93,THEFT OF PROPERTY FELONY,"6 BASS PRO DR
Little Rock, Arkansas
(34.657542, -92.409658)",8/30/16
2016-027844,90,THEFT OF PROPERTY FELONY,"401 COLONEL GLENN PLAZA LOOP
Little Rock, Arkansas
(34.70646, -92.406687)",3/14/16
2016-140389,71,THEFT OF PROPERTY FELONY,"14000 CANTRELL RD
Little Rock, Arkansas
(34.802565, -92.43001)",12/15/2016-12/15/2016
2016-085489,63,THEFT OF PROPERTY FELONY,"34 LORNA DR
Little Rock, Arkansas
(34.759578, -92.361093)",7/28/16
2016-137186,63,THEFT OF PROPERTY FELONY,"1500 N MISSISSIPPI ST
Little Rock, Arkansas
(34.765676, -92.358357)",02/15/2016-11/16/2016
2016-038111,70,THEFT OF PROPERTY FELONY,"11525 CANTRELL RD
Little Rock, Arkansas
(34.79372, -92.399701)",04/01/2016-04/08/2016
2016-059450,43,THEFT OF PROPERTY FELONY,"1118 E 13TH ST
Little Rock, Arkansas
(34.735047, -92.259077)",5/30/16
2016-070540,93,THEFT OF PROPERTY FELONY,"11201 BASS PRO PKWY
Little Rock, Arkansas
(34.659015, -92.412321)",6/24/16
2016-042179,91,THEFT OF PROPERTY FELONY,"7115 YARBERRY LN
Little Rock, Arkansas
(34.643979, -92.357813)",4/18/16
2016-088528,64,THEFT OF PROPERTY FELONY,"11301 FINANCIAL CENTRE PKWY
Little Rock, Arkansas
(34.746782, -92.400052)",8/6/2016-8/7/2016
2016-137760,81,THEFT OF PROPERTY FELONY,"8219 INTERSTATE 30
Little Rock, Arkansas
(34.678319, -92.339369)",12/8/16
2016-029954,40,THEFT OF PROPERTY FELONY,"119 E MARKHAM ST
Little Rock, Arkansas
(34.747999, -92.269648)",3/18/16
2016-007258,70,THEFT OF PROPERTY FELONY,"3409 HAPPY VALLEY DR
Little Rock, Arkansas
(34.784493, -92.400583)",1/19/16
2016-029731,81,THEFT OF PROPERTY FELONY,"3601 W 69TH ST
Little Rock, Arkansas
(34.685936, -92.316392)",3/14/16
2016-123856,63,THEFT OF PROPERTY FELONY,"15 MEREDITH CT
Little Rock, Arkansas
(34.770181, -92.374398)",11/1/16
2016-053944,82,THEFT OF PROPERTY FELONY,"9811 RECK RD
Little Rock, Arkansas
(34.658592, -92.328461)",5/17/16
2016-131756,64,THEFT OF PROPERTY FELONY,"200 DRYAD LN
Little Rock, Arkansas
(34.751118, -92.37719)",11/22/16
2016-057371,71,THEFT OF PROPERTY FELONY,"12315 CHENAL PKWY
Little Rock, Arkansas
(34.752584, -92.413102)",5/25/16
2016-119241,63,THEFT OF PROPERTY FELONY,"9200 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.757865, -92.377225)",10/21/16
2016-032489,81,THEFT OF PROPERTY FELONY,"8414 DOYLE SPRINGS RD
Little Rock, Arkansas
(34.672371, -92.328678)",3/21/16
2016-065516,53,THEFT OF PROPERTY FELONY,"2617 JOHNSON ST
Little Rock, Arkansas
(34.726734, -92.30857)",5/23/16
2016-130554,91,THEFT OF PROPERTY FELONY,"10215 MABELVALE PLAZA DR
Little Rock, Arkansas
(34.667665, -92.379368)",11/19/16
2016-064662,71,THEFT OF PROPERTY FELONY,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",6/12/16
2016-134481,70,THEFT OF PROPERTY FELONY,"12533 SOUTHRIDGE DR
Little Rock, Arkansas
(34.801322, -92.411574)",11/29/2016-11/30/2016
2016-006076,64,THEFT OF PROPERTY FELONY,"11400 W MARKHAM ST
Little Rock, Arkansas
(34.75393, -92.399487)",1/16/16
2016-057205,63,THEFT OF PROPERTY FELONY,"7601 CANTRELL RD
Little Rock, Arkansas
(34.77206, -92.358451)",5/25/16
2016-047379,63,THEFT OF PROPERTY FELONY,"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",4/29/2016-5/1/2016
2016-030154,63,THEFT OF PROPERTY FELONY,"1010 BRECKENRIDGE DR
Little Rock, Arkansas
(34.763682, -92.389549)",3/19/16
2016-092224,82,THEFT OF PROPERTY FELONY,"5206 SOUTHBORO DR
Little Rock, Arkansas
(34.663256, -92.337429)",8/14/2016-8/15/2016
2016-018294,72,THEFT OF PROPERTY FELONY,"17711 CHENAL PKWY
Little Rock, Arkansas
(34.768679, -92.457917)",2/18/16
2016-094950,93,THEFT OF PROPERTY FELONY,"11201 BASS PRO PKWY
Little Rock, Arkansas
(34.659015, -92.412321)",8/20/16
2016-143203,71,THEFT OF PROPERTY FELONY,"12315 CHENAL PKWY
Little Rock, Arkansas
(34.752584, -92.413102)",12/22/2016-12/22/2016
2016-044930,63,THEFT OF PROPERTY FELONY,"10214 RONALD DR
Little Rock, Arkansas
(34.755054, -92.38788)",4/22/16
2016-028774,42,THEFT OF PROPERTY FELONY,"6900 FOURCHE DAM PIKE
Little Rock, Arkansas
(34.721743, -92.194528)",3/9/16
2016-022432,64,THEFT OF PROPERTY FELONY,"11400 W MARKHAM ST
Little Rock, Arkansas
(34.75393, -92.399487)",2/14/16
2016-063199,90,THEFT OF PROPERTY FELONY,"5620 S UNIVERSITY AVE
Little Rock, Arkansas
(34.698776, -92.34572)",6/1/16
2016-018133,82,THEFT OF PROPERTY FELONY,"4723 BASELINE RD
Little Rock, Arkansas
(34.668484, -92.330735)",2/17/16
2016-138146,72,THEFT OF PROPERTY FELONY,"17711 CHENAL PKWY
Little Rock, Arkansas
(34.768679, -92.457917)",12/9/16
2016-009867,91,THEFT OF PROPERTY FELONY,"7620 BASELINE RD
Little Rock, Arkansas
(34.669742, -92.36262)",1/24/16
2016-062425,60,THEFT OF PROPERTY FELONY,"6320 W MARKHAM ST
Little Rock, Arkansas
(34.752426, -92.345213)",6/1/16
2016-029736,72,THEFT OF PROPERTY FELONY,"5 CHEVAUX CIR
Little Rock, Arkansas
(34.806576, -92.465309)",3/18/16
2016-102525,62,THEFT OF PROPERTY FELONY,"2904 GILMAN ST
Little Rock, Arkansas
(34.726562, -92.365175)",9/11/16 0:00
2016-109954,61,THEFT OF PROPERTY FELONY,"8701 RILEY DR
Little Rock, Arkansas
(34.744256, -92.364584)",9/28/16
2016-037750,53,THEFT OF PROPERTY FELONY,"1823 MAPLE ST
Little Rock, Arkansas
(34.734069, -92.314916)",01/01/2016-04/06/2016
2016-068354,91,THEFT OF PROPERTY FELONY,"7317 YORKWOOD DR
Little Rock, Arkansas
(34.651869, -92.361225)",6/19/2016-6/21/2016
2016-037640,72,THEFT OF PROPERTY FELONY,"21 FONTENAY CIR
Little Rock, Arkansas
(34.768265, -92.470305)",02/01/2016-04/07/2016
2016-037107,72,THEFT OF PROPERTY FELONY,"7 SOLOGNE CIR
Little Rock, Arkansas
(34.78688, -92.486176)",03/18/2016-03/24/2016
2016-073069,61,THEFT OF PROPERTY FELONY,"1407 JOHN BARROW RD
Little Rock, Arkansas
(34.73935, -92.372331)",7/1/16
2016-126945,60,THEFT OF PROPERTY FELONY,"18 NOTTINGHAM RD
Little Rock, Arkansas
(34.74991, -92.346405)",11/10/16
2016-129498,64,THEFT OF PROPERTY FELONY,"4200 BARROW RD
Little Rock, Arkansas
(34.714853, -92.373229)",11/16/16
2016-129449,52,THEFT OF PROPERTY FELONY,"1900 WRIGHT AVE
Little Rock, Arkansas
(34.732263, -92.29475)",11/17/16
2016-121395,63,THEFT OF PROPERTY FELONY,"1818 RESERVOIR RD
Little Rock, Arkansas
(34.769425, -92.375912)",10/27/16
2016-129089,63,THEFT OF PROPERTY FELONY,"1715 BRECKENRIDGE DR
Little Rock, Arkansas
(34.770596, -92.38527)",11/15/2016-11/16/2016
2016-112879,70,THEFT OF PROPERTY FELONY,"12724 PLEASANT FOREST DR
Little Rock, Arkansas
(34.788154, -92.415291)",10/6/16
2016-041376,82,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"9101 AUXOR RD
Little Rock, Arkansas
(34.666569, -92.315418)",4/16/16
2016-144584,54,THEFT OF PROPERTY FELONY,"2118 FAIR PARK BLVD
Little Rock, Arkansas
(34.732188, -92.334883)",12/2/16
2016-072695,50,THEFT OF PROPERTY FELONY,"710 N HARRISON ST
Little Rock, Arkansas
(34.757818, -92.332205)",7/1/16
2016-067971,81,THEFT OF PROPERTY FELONY,"4809 W 65TH ST
Little Rock, Arkansas
(34.690236, -92.33026)",06/09/2016-06/19/2016
2016-102000,53,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"1418 S VALENTINE ST
Little Rock, Arkansas
(34.737687, -92.313983)",11/15/2015-09/09/2016
2016-051103,54,THEFT OF PROPERTY MISD,"5124 W 11TH ST
Little Rock, Arkansas
(34.741995, -92.331995)",5/10/16
2016-077673,93,THEFT OF PROPERTY FELONY,"11800 STAGECOACH RD
Little Rock, Arkansas
(34.647459, -92.438007)",7/9/16
2016-113278,51,THEFT OF PROPERTY FELONY,"1 CHILDRENS WAY
Little Rock, Arkansas
(34.743014, -92.291658)",10/7/16
2016-028070,53,THEFT OF PROPERTY FELONY,"3318 W ROOSEVELT RD
Little Rock, Arkansas
(34.725677, -92.311564)",01/22/2016-03/09/2016
2016-013415,64,THEFT OF PROPERTY MISD,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",2/5/16
2016-100049,71,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",9/5/16
2016-022481,64,THEFT OF PROPERTY FELONY,"10118 COLONEL GLENN RD
Little Rock, Arkansas
(34.71221, -92.389225)",02/27/2016-02/28/2016
2016-024847,53,THEFT OF PROPERTY MISD,"3100 W ROOSEVELT RD
Little Rock, Arkansas
(34.725548, -92.309055)",3/6/16
2016-106774,71,THEFT OF PROPERTY MISD,"12700 CHENAL PKWY
Little Rock, Arkansas
(34.754179, -92.414858)",10/4/2014-7/24/2016
2016-130348,80,THEFT OF PROPERTY FELONY,"1900 W 65TH ST
Little Rock, Arkansas
(34.688536, -92.298764)",11/18/2016-11/19/2016
2016-094910,54,THEFT OF PROPERTY FELONY,"2121 FAIR PARK BLVD
Little Rock, Arkansas
(34.732076, -92.334888)",8/22/16
2016-143638,71,THEFT OF PROPERTY FELONY,"12600 CHENAL PKWY
Little Rock, Arkansas
(34.753839, -92.414221)",12/23/16
2016-094982,42,THEFT OF PROPERTY FELONY,"1201 BOND AVE
Little Rock, Arkansas
(34.734829, -92.24792)",8/23/16
2016-103303,62,THEFT OF PROPERTY FELONY,"6420 COLONEL GLENN RD
Little Rock, Arkansas
(34.717837, -92.346894)",9/10/16
2016-070992,54,THEFT OF PROPERTY FELONY,"4900 W 11TH ST
Little Rock, Arkansas
(34.7419, -92.328376)",6/27/16
2016-070244,42,THEFT OF PROPERTY FELONY,"2001 E 17TH ST
Little Rock, Arkansas
(34.730473, -92.247169)",6/24/2016-6/25/2016
2016-035576,70,THEFT OF PROPERTY MISD,"11525 CANTRELL RD
Little Rock, Arkansas
(34.79372, -92.399701)",4/2/16
2016-059486,90,THEFT OF PROPERTY FELONY,"5721 STAGECOACH RD
Little Rock, Arkansas
(34.695762, -92.388608)",5/30/2016-5/31/2016
2016-049497,52,THEFT OF PROPERTY FELONY,"1924 S PARK ST
Little Rock, Arkansas
(34.730676, -92.297395)",5/4/2016-5/6/2016
2016-141116,93,THEFT OF PROPERTY FELONY,"10800 INTERSTATE 30
Little Rock, Arkansas
(34.665862, -92.393065)",12/16/2016-12/17/2016
2016-123925,71,THEFT OF PROPERTY MISD,"12610 CHENAL PKWY
Little Rock, Arkansas
(34.753879, -92.414284)",11/2/16
2016-099986,40,THEFT OF PROPERTY FELONY,"701 BROADWAY ST
Little Rock, Arkansas
(34.742459, -92.276347)",9/3/16
2016-068314,52,THEFT OF PROPERTY FELONY,"2617 S RINGO ST
Little Rock, Arkansas
(34.723014, -92.286194)",6/20/2016-6/21/2016
2016-037887,53,THEFT OF PROPERTY FELONY,"4015 W 7TH ST
Little Rock, Arkansas
(34.745389, -92.318616)",4/7/16
2016-118487,64,THEFT OF PROPERTY FELONY,"8801 KNOEDL CT
Little Rock, Arkansas
(34.748679, -92.37273)",10/18/2016-10/19/2016
2016-131118,53,THEFT OF PROPERTY FELONY,"3215 BROWN ST
Little Rock, Arkansas
(34.721338, -92.310781)",11/21/16
2016-083524,81,THEFT OF PROPERTY FELONY,"6621 MEADOWLARK LN
Little Rock, Arkansas
(34.688877, -92.340984)",4/1/2016-7/26/2016
2016-109224,50,THEFT OF PROPERTY FELONY,"522 ASH ST
Little Rock, Arkansas
(34.756082, -92.323028)",9/27/16
2016-028078,70,THEFT OF PROPERTY FELONY,"1211 N SHACKLEFORD RD
Little Rock, Arkansas
(34.764238, -92.396286)",02/02/2016-02/28/2016
2016-013029,93,THEFT OF PROPERTY MISD,"16 PINE BREEZE CV
Little Rock, Arkansas
(34.666489, -92.436325)",2/4/16
2016-092997,62,THEFT OF PROPERTY FELONY,"6201 COLONEL GLENN RD
Little Rock, Arkansas
(34.717701, -92.343749)",8/1/16 0:00
2016-130043,53,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE FELONY,"3010 W 7TH ST
Little Rock, Arkansas
(34.745421, -92.307133)",11/18/16
2016-078501,72,THEFT OF PROPERTY FELONY,"17711 CHENAL PKWY
Little Rock, Arkansas
(34.768679, -92.457917)",7/14/16
2016-088672,60,THEFT OF PROPERTY MISD,"420 S UNIVERSITY AVE
Little Rock, Arkansas
(34.749245, -92.3413)",8/7/16
2016-128587,60,THEFT OF PROPERTY FELONY,"7600 REBSAMEN PARK RD
Little Rock, Arkansas
(34.789727, -92.357236)",11/15/16
2016-094838,70,THEFT OF PROPERTY FELONY,"11700 CANTRELL RD
Little Rock, Arkansas
(34.795309, -92.401991)",8/23/16
2016-145238,53,THEFT OF PROPERTY FELONY,"136 PEARL AVE
Little Rock, Arkansas
(34.74948, -92.3048)",12/28/16
2016-044857,40,THEFT OF PROPERTY FELONY,"101 E CAPITOL AVE
Little Rock, Arkansas
(34.744075, -92.270464)",03/25/2016-04/22/2016
2016-049604,60,THEFT OF PROPERTY FELONY,"6604 W MARKHAM ST
Little Rock, Arkansas
(34.752535, -92.348091)",5/6/2016-5/6/2016
2016-029738,53,THEFT OF PROPERTY FELONY,"324 S SCHILLER ST
Little Rock, Arkansas
(34.747907, -92.295427)",3/11/16
2016-144924,64,THEFT OF PROPERTY FELONY,"8821 W 36TH ST
Little Rock, Arkansas
(34.720761, -92.373831)",12/23/2016-12/26/2016
2016-077185,60,THEFT OF PROPERTY FELONY,"300 S UNIVERSITY AVE
Little Rock, Arkansas
(34.74998, -92.341281)",7/11/16
2016-100071,70,THEFT OF PROPERTY FELONY,"33 LONGLEA DR
Little Rock, Arkansas
(34.782019, -92.421418)",9/4/2016-9/5/2016
2016-098539,63,THEFT OF PROPERTY FELONY,"7700 CANTRELL RD
Little Rock, Arkansas
(34.773255, -92.360164)",8/30/16
2016-114725,81,THEFT OF PROPERTY MISD,"8824 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670527, -92.344286)",10/11/16
2016-129187,50,THEFT OF PROPERTY FELONY,"2010 REBSAMEN PARK RD
Little Rock, Arkansas
(34.770257, -92.31105)",11/14/2016-11/15/2016
2016-003354,60,THEFT OF PROPERTY MISD,"600 S UNIVERSITY AVE
Little Rock, Arkansas
(34.746529, -92.341393)",1/9/16
2016-010188,81,THEFT OF PROPERTY FELONY,"5300 BASELINE RD
Little Rock, Arkansas
(34.668816, -92.33675)",01/22/2016-01/23/2016
2016-094934,62,THEFT OF PROPERTY FELONY,"7811 W 29TH ST
Little Rock, Arkansas
(34.726974, -92.361393)",8/18/2016-8/23/2016
2016-107697,70,THEFT OF PROPERTY FELONY,"12102 TETON FOREST DR
Little Rock, Arkansas
(34.788371, -92.407341)",9/23/16
2016-011137,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",1/30/16
2016-009496,60,THEFT OF PROPERTY MISD,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752338, -92.343058)",1/26/16
2016-111856,61,THEFT OF PROPERTY FELONY,"7618 KANIS RD
Little Rock, Arkansas
(34.740709, -92.358469)",09/20/2016-10/01/2016
2016-059733,40,THEFT OF PROPERTY MISD,"300 E PRESIDENT CLINTON AVE
Little Rock, Arkansas
(34.747685, -92.267263)",5/31/16
2016-118437,60,THEFT OF PROPERTY FELONY,"18 NOTTINGHAM RD
Little Rock, Arkansas
(34.74991, -92.346405)",10/20/2016-10/21/2016
2016-050609,50,THEFT OF PROPERTY MISD,"2300 REBSAMEN PARK RD
Little Rock, Arkansas
(34.772361, -92.311792)",5/7/2016-5/9/2016
2016-089830,54,THEFT OF PROPERTY FELONY,"925 S UNIVERSITY AVE
Little Rock, Arkansas
(34.743909, -92.341361)",8/9/2016-8/10/2016
2016-103270,64,THEFT OF PROPERTY FELONY,"3321 S BOWMAN RD
Little Rock, Arkansas
(34.726048, -92.408924)",09/12/2016-09/13/2016
2016-066361,64,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE FELONY,"109 MARKHAM PARK DR
Little Rock, Arkansas
(34.754984, -92.404871)",6/16/16
2016-126174,61,THEFT OF PROPERTY FELONY,"2000 S UNIVERSITY AVE
Little Rock, Arkansas
(34.733707, -92.341823)",11/8/16
2016-054248,90,THEFT OF PROPERTY FELONY,"7800 SIBLEY HOLE RD
Little Rock, Arkansas
(34.68119, -92.404927)",5/17/2016-5/18/2016
2016-067232,53,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"314 S MARTIN ST
Little Rock, Arkansas
(34.749129, -92.310932)",6/18/16
2016-110419,71,THEFT OF PROPERTY MISD,"13909 CHENAL PKWY
Little Rock, Arkansas
(34.753698, -92.430096)",10/1/16
2016-093313,61,THEFT OF PROPERTY FELONY,"8701 W MARKHAM ST
Little Rock, Arkansas
(34.753228, -92.371032)",8/19/16
2016-092494,63,THEFT OF PROPERTY FELONY,"11101 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.771494, -92.396717)",08/12/2014-08/12/2016
2016-070832,71,THEFT OF PROPERTY FELONY,"13500 CHENAL PKWY
Little Rock, Arkansas
(34.755676, -92.426102)",6/26/2016-6/27/2016
2016-077968,50,THEFT OF PROPERTY FELONY,"1719 MAGNOLIA AVE
Little Rock, Arkansas
(34.767568, -92.311658)",7/3/16
2016-073467,90,THEFT OF PROPERTY FELONY,"7007 GRACE RD
Little Rock, Arkansas
(34.687675, -92.354358)",7/2/16
2016-080128,81,THEFT OF PROPERTY FELONY,"5701 DREHER LN
Little Rock, Arkansas
(34.675427, -92.340899)",7/18/16
2016-080358,64,THEFT OF PROPERTY FELONY,"10001 KANIS RD
Little Rock, Arkansas
(34.74284, -92.386168)",07/12/2016-07/15/2016
2016-145715,54,THEFT OF PROPERTY FELONY,"5205 W 31ST ST
Little Rock, Arkansas
(34.723905, -92.332157)",12/29/2016-12/29/2016
2016-107131,81,THEFT OF PROPERTY FELONY,"2601 W 65TH ST
Little Rock, Arkansas
(34.689188, -92.307816)",09/21/2016-09/22/2016
2016-120702,51,THEFT OF PROPERTY FELONY,"1 CHILDRENS WAY
Little Rock, Arkansas
(34.743014, -92.291658)",10/25/16
2016-089754,71,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE FELONY,"1700 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.770877, -92.4036)",8/10/16
2016-146475,71,THEFT OF PROPERTY FELONY,"1912 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.769154, -92.403696)",12/30/2016-12/31/2016
2016-097706,61,THEFT OF PROPERTY FELONY,"7702 CHOCTAW RD
Little Rock, Arkansas
(34.748945, -92.360364)",8/30/16
2016-020922,90,THEFT OF PROPERTY FELONY,"34 N MEADOWCLIFF DR
Little Rock, Arkansas
(34.700473, -92.349018)",10/17/2015-02/25/2016
2016-025789,64,THEFT OF PROPERTY FELONY,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",03/07/2016-03/08/2016
2016-098093,93,THEFT OF PROPERTY MISD,"11201 BASS PRO PKWY
Little Rock, Arkansas
(34.659015, -92.412321)",8/28/16
2016-121676,64,THEFT OF PROPERTY FELONY,"10001 KANIS RD
Little Rock, Arkansas
(34.74284, -92.386168)",10/26/2016-10/28/2016
2016-005653,81,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"8801 GEYER SPRINGS RD
Little Rock, Arkansas
(34.669885, -92.344321)",1/15/16
2016-057110,70,THEFT OF PROPERTY FELONY,"1605 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768128, -92.403689)",5/24/2016-5/25/2016
2016-026474,42,THEFT OF PROPERTY FELONY,"1500 E 2ND ST
Little Rock, Arkansas
(34.745779, -92.253137)",12/18/2015-03/10/2016
2016-139587,63,THEFT OF PROPERTY FELONY,"10300 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.767417, -92.38858)",12/10/16
2016-061242,41,THEFT OF PROPERTY MISD,"2021 MAIN ST
Little Rock, Arkansas
(34.729269, -92.273718)",6/1/16
2016-018170,80,THEFT OF PROPERTY FELONY,"4607 HOFFMAN RD
Little Rock, Arkansas
(34.697315, -92.327453)",02/01/2016-02/17/2016
2016-077204,40,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE FELONY,"601 MAIN ST
Little Rock, Arkansas
(34.742926, -92.271328)",06/07/2016-07/11/2016
2016-082436,54,THEFT OF PROPERTY FELONY,"4923 W 12TH ST
Little Rock, Arkansas
(34.740969, -92.329696)",7/22/2016-7/23/2016
2016-110689,72,THEFT OF PROPERTY FELONY,"15 STONEBRIDGE CIR
Little Rock, Arkansas
(34.813025, -92.470282)",09/21/2016-10/01/2016
2016-115278,70,THEFT OF PROPERTY FELONY,"12600 RIVERCREST DR
Little Rock, Arkansas
(34.803623, -92.41228)",06/01/2010-10/01/2015
2016-143813,71,THEFT OF PROPERTY FELONY,"12700 CHENAL
Little Rock, Arkansas
(34.754179, -92.414858)",12/24/16
2016-014877,52,THEFT OF PROPERTY FELONY,"500 W ROOSEVELT RD
Little Rock, Arkansas
(34.724445, -92.279282)",01/11/2016-02/08/2016
2016-082447,70,THEFT OF PROPERTY MISD,"11525 CANTRELL RD
Little Rock, Arkansas
(34.79372, -92.399701)",7/23/16
2016-110132,60,THEFT OF PROPERTY MISD,"420 S UNIVERSITY AVE
Little Rock, Arkansas
(34.749245, -92.3413)",9/29/16
2016-091113,64,THEFT OF PROPERTY FELONY,"9201 KANIS RD
Little Rock, Arkansas
(34.741583, -92.377205)",8/12/16
2016-070952,52,THEFT OF PROPERTY FELONY,"3420 DR MARTIN LUTHER KING DR
Little Rock, Arkansas
(34.715013, -92.290204)",05/21/2016-06/27/2016
2016-026797,51,THEFT OF PROPERTY FELONY,"1000 S RINGO ST
Little Rock, Arkansas
(34.740589, -92.284043)",03/09/2016-03/10/2016
2016-012006,71,THEFT OF PROPERTY MISD,"13909 CHENAL PKWY
Little Rock, Arkansas
(34.753698, -92.430096)",2/1/16
2016-126537,54,THEFT OF PROPERTY FELONY,"2308 S MONROE ST
Little Rock, Arkansas
(34.73061, -92.328257)",09/15/2016-11/09/2016
2016-061642,64,THEFT OF PROPERTY FELONY,"3 SHEPARD CV
Little Rock, Arkansas
(34.796875, -92.429506)",6/3/2016-6/4/2016
2016-037594,72,THEFT OF PROPERTY FELONY,"5 SEVEN ACRES DR
Little Rock, Arkansas
(34.801626, -92.448087)",04/01/2016-04/07/2016
2016-080672,70,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"301 N SHACKLEFORD RD
Little Rock, Arkansas
(34.755652, -92.39389)",7/16/16
2016-094765,71,THEFT OF PROPERTY MISD,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",8/23/16
2016-082897,80,THEFT OF PROPERTY FELONY,"42 ROSEMOOR DR
Little Rock, Arkansas
(34.702515, -92.328554)",7/24/16
2016-038854,62,THEFT OF PROPERTY LOST MISLAID OR DELIVERED BY MISTAKE MISD,"6420 COLONEL GLENN RD
Little Rock, Arkansas
(34.717837, -92.346894)",4/9/16
2016-105944,51,THEFT OF PROPERTY FELONY,"900 W DAISY L GATSON BATES DR
Little Rock, Arkansas
(34.73664, -92.282393)",9/16/16
2016-034973,71,THEFT OF PROPERTY FELONY,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",03/31/2016-04/01/2016
2016-125142,50,THEFT OF PROPERTY FELONY,"5900 REBSAMEN PARK RD
Little Rock, Arkansas
(34.785517, -92.342985)",11/5/16
