DATE,TMAX,TMIN
4/18/16,74,61
4/19/16,62,58
4/20/16,70,59
4/21/16,77,58
4/22/16,77,56
4/23/16,79,56
4/24/16,80,58
4/25/16,80,61
4/26/16,82,67
4/27/16,82,61
4/28/16,83,60
4/29/16,67,60
4/30/16,79,63
5/1/16,78,63
5/2/16,66,53
5/3/16,69,53
5/4/16,79,54
5/5/16,75,52
5/6/16,75,49
5/7/16,84,57
5/8/16,78,61
5/9/16,72,61
5/10/16,84,64
5/11/16,85,70
5/12/16,78,61
5/13/16,80,56
5/14/16,68,57
5/15/16,70,54
5/16/16,62,56
5/17/16,78,55
5/18/16,64,53
5/19/16,74,54
5/20/16,72,54
5/21/16,77,60
5/22/16,82,59
5/23/16,81,58
5/24/16,87,65
5/25/16,83,65
5/26/16,85,69
5/27/16,80,68
5/28/16,83,64
5/29/16,86,66
5/30/16,84,65
5/31/16,83,64
6/1/16,80,67
6/2/16,82,68
6/3/16,84,69
6/4/16,81,68
6/5/16,84,66
6/6/16,84,64
6/7/16,88,68
6/8/16,87,67
6/9/16,89,66
6/10/16,90,69
6/11/16,92,73
6/12/16,90,71
6/13/16,87,71
6/14/16,87,73
6/15/16,94,76
6/16/16,94,75
6/17/16,96,78
6/18/16,91,74
6/19/16,89,74
6/20/16,91,74
6/21/16,94,75
6/22/16,95,77
6/23/16,94,78
6/24/16,93,78
6/25/16,95,74
6/26/16,94,77
6/27/16,92,72
6/28/16,93,71
6/29/16,93,72
6/30/16,92,69
7/1/16,91,73
7/2/16,94,76
7/3/16,95,77
7/4/16,90,73
7/5/16,93,77
7/6/16,96,77
7/7/16,95,77
7/8/16,97,79
7/9/16,89,70
7/10/16,93,66
7/11/16,91,69
7/12/16,93,75
7/13/16,94,78
7/14/16,94,68
7/15/16,86,68
7/16/16,91,70
7/17/16,94,76
7/18/16,95,76
7/19/16,94,77
7/20/16,94,77
7/21/16,96,78
7/22/16,98,80
7/23/16,97,75
7/24/16,94,75
7/25/16,94,73
7/26/16,93,75
7/27/16,89,75
7/28/16,90,74
7/29/16,90,73
7/30/16,90,71
7/31/16,91,70
8/1/16,95,76
8/2/16,97,77
8/3/16,96,79
8/4/16,96,80
8/5/16,96,77
8/6/16,82,74
8/7/16,90,71
8/8/16,83,71
8/9/16,94,74
8/10/16,95,75
8/11/16,93,78
8/12/16,94,78
8/13/16,82,72
8/14/16,76,71
8/15/16,80,72
8/16/16,76,71
8/17/16,81,72
8/18/16,78,72
8/19/16,86,73
8/20/16,76,72
8/21/16,82,68
8/22/16,84,66
8/23/16,90,72
8/24/16,92,75
8/25/16,90,74
8/26/16,92,73
8/27/16,90,72
8/28/16,93,74
8/29/16,93,74
8/30/16,93,76
8/31/16,92,75
9/1/16,87,69
9/2/16,81,64
9/3/16,84,64
9/4/16,89,65
9/5/16,91,73
9/6/16,91,75
9/7/16,91,75
9/8/16,92,76
9/9/16,91,76
9/10/16,83,66
9/11/16,83,61
9/12/16,88,63
9/13/16,91,69
9/14/16,93,73
9/15/16,92,73
9/16/16,91,70
9/17/16,85,70
9/18/16,82,69
9/19/16,88,66
9/20/16,90,69
9/21/16,89,69
9/22/16,92,68
9/23/16,91,71
9/24/16,92,72
9/25/16,91,73
9/26/16,76,61
9/27/16,77,56
9/28/16,88,60
9/29/16,75,54
9/30/16,78,57
10/1/16,77,59
10/2/16,82,57
10/3/16,85,60
10/4/16,85,61
10/5/16,88,69
10/6/16,88,69
10/7/16,86,57
10/8/16,76,50
10/9/16,78,52
10/10/16,74,56
10/11/16,83,57
10/12/16,83,66
10/13/16,68,57
10/14/16,63,56
10/15/16,81,62
10/16/16,83,66
10/17/16,86,68
10/18/16,81,70
10/19/16,86,69
10/20/16,72,54
10/21/16,67,47
10/22/16,73,48
10/23/16,74,51
10/24/16,80,59
10/25/16,78,55
10/26/16,77,58
10/27/16,82,61
10/28/16,82,60
10/29/16,82,63
10/30/16,85,60
10/31/16,85,63
11/1/16,83,58
11/2/16,80,66
11/3/16,81,65
11/4/16,75,57
11/5/16,68,51
11/6/16,73,49
11/7/16,66,57
11/8/16,66,56
11/9/16,68,49
11/10/16,69,43
11/11/16,73,50
11/12/16,64,41
11/13/16,62,37
11/14/16,70,43
11/15/16,75,53
11/16/16,81,54
11/17/16,79,55
11/18/16,69,43
11/19/16,54,37
11/20/16,56,33
11/21/16,62,36
11/22/16,63,44
11/23/16,61,51
11/24/16,52,44
11/25/16,54,42
11/26/16,51,39
11/27/16,52,36
11/28/16,55,48
11/29/16,64,48
11/30/16,54,39
12/1/16,61,37
12/2/16,63,40
12/3/16,49,42
12/4/16,45,41
12/5/16,45,40
12/6/16,53,42
12/7/16,42,37
12/8/16,38,27
12/9/16,39,22
12/10/16,43,25
12/11/16,58,41
12/12/16,54,45
12/13/16,56,43
12/14/16,46,34
12/15/16,37,27
12/16/16,57,26
12/17/16,75,29
12/18/16,29,19
12/19/16,35,12
12/20/16,47,18
12/21/16,62,38
12/22/16,53,40
12/23/16,51,36
12/24/16,54,50
12/25/16,66,52
12/26/16,72,59
12/27/16,59,40
12/28/16,54,40
12/29/16,54,40
12/30/16,56,37
12/31/16,47,42
1/1/17,45,42
1/2/17,55,45
1/3/17,55,39
1/4/17,39,28
1/5/17,35,27
1/6/17,27,17
1/7/17,29,12
1/8/17,32,17
1/9/17,50,24
1/10/17,70,50
1/11/17,72,59
1/12/17,73,53
1/13/17,53,38
1/14/17,46,39
1/15/17,47,41
1/16/17,64,44
1/17/17,57,44
1/18/17,48,42
1/19/17,53,46
1/20/17,68,53
1/21/17,68,53
1/22/17,56,49
1/23/17,55,40
1/24/17,64,39
1/25/17,60,41
1/26/17,46,34
1/27/17,50,28
1/28/17,52,36
1/29/17,56,40
1/30/17,68,40
1/31/17,74,47
2/1/17,65,51
2/2/17,51,37
2/3/17,46,32
2/4/17,41,26
2/5/17,57,40
2/6/17,71,50
2/7/17,78,61
2/8/17,72,34
2/9/17,46,28
2/10/17,70,35
2/11/17,78,63
2/12/17,69,54
2/13/17,57,41
2/14/17,49,38
2/15/17,55,42
2/16/17,64,39
2/17/17,69,41
2/18/17,64,52
2/19/17,75,50
2/20/17,76,58
2/21/17,61,57
2/22/17,61,55
2/23/17,77,52
2/24/17,66,45
2/25/17,50,32
2/26/17,57,36
2/27/17,58,45
2/28/17,78,57
3/1/17,70,48
3/2/17,60,40
3/3/17,58,42
3/4/17,69,43
3/5/17,58,48
3/6/17,70,53
3/7/17,67,45
3/8/17,68,44
3/9/17,71,49
3/10/17,63,44
3/11/17,45,33
3/12/17,51,30
3/13/17,52,35
3/14/17,43,36
3/15/17,45,28
3/16/17,50,39
3/17/17,73,48
3/18/17,77,60
3/19/17,73,51
3/20/17,84,60
3/21/17,85,55
3/22/17,64,48
3/23/17,82,47
3/24/17,76,59
3/25/17,70,51
3/26/17,77,46
3/27/17,80,58
3/28/17,76,53
3/29/17,80,58
3/30/17,66,51
3/31/17,75,46
4/1/17,70,50
4/2/17,70,55
4/3/17,75,59
4/4/17,81,55
4/5/17,69,48
4/6/17,66,45
4/7/17,67,45
4/8/17,79,50
4/9/17,81,60
4/10/17,72,63
4/11/17,66,56
4/12/17,78,53
4/13/17,82,60
4/14/17,82,64
4/15/17,81,62
4/16/17,79,65
4/17/17,73,63
4/18/17,78,63
4/19/17,82,62
4/20/17,82,65
4/21/17,71,55
4/22/17,58,49
4/23/17,71,49
4/24/17,77,49
4/25/17,82,53
4/26/17,72,50
4/27/17,68,45
4/28/17,83,55
4/29/17,83,63
4/30/17,69,53
5/1/17,73,48
5/2/17,80,50
5/3/17,70,56
5/4/17,56,47
5/5/17,73,52
5/6/17,79,56
5/7/17,79,55
5/8/17,84,61
5/9/17,84,63
5/10/17,83,64
5/11/17,80,64
5/12/17,73,60
5/13/17,77,56
5/14/17,80,55
5/15/17,84,61
5/16/17,85,65
5/17/17,80,67
5/18/17,86,71
5/19/17,87,65
5/20/17,78,63
5/21/17,77,60
5/22/17,73,59
5/23/17,77,58
5/24/17,68,54
5/25/17,80,53
5/26/17,82,67
5/27/17,88,72
5/28/17,80,64
5/29/17,83,64
5/30/17,86,65
5/31/17,88,64
6/1/17,84,67
6/2/17,82,66
6/3/17,84,69
6/4/17,80,71
6/5/17,78,69
6/6/17,88,68
6/7/17,81,63
6/8/17,79,62
6/9/17,83,60
6/10/17,85,65
6/11/17,88,70
6/12/17,88,72
6/13/17,86,71
6/14/17,89,73
6/15/17,87,70
6/16/17,90,72
6/17/17,88,70
6/18/17,83,69
6/19/17,86,63
6/20/17,89,69
6/21/17,87,69
6/22/17,85,73
6/23/17,88,69
6/24/17,81,68
6/25/17,85,65
6/26/17,84,68
6/27/17,84,63
6/28/17,87,68
6/29/17,86,72
6/30/17,86,69
7/1/17,89,67
7/2/17,88,69
7/3/17,85,70
7/4/17,87,74
7/5/17,83,71
7/6/17,90,73
7/7/17,92,74
7/8/17,88,69
7/9/17,89,72
7/10/17,91,71
7/11/17,91,73
7/12/17,92,75
7/13/17,93,74
7/14/17,92,71
7/15/17,90,72
7/16/17,90,74
7/17/17,90,73
7/18/17,92,71
7/19/17,95,76
7/20/17,95,78
7/21/17,95,79
7/22/17,95,78
7/23/17,96,72
7/24/17,94,72
7/25/17,96,77
7/26/17,94,78
7/27/17,93,78
7/28/17,84,74
7/29/17,86,71
7/30/17,84,65
7/31/17,88,67
8/1/17,84,69
8/2/17,83,68
8/3/17,88,70
8/4/17,86,72
8/5/17,86,71
8/6/17,79,72
8/7/17,78,69
8/8/17,85,68
8/9/17,89,69
8/10/17,90,71
8/11/17,85,72
8/12/17,88,72
8/13/17,76,69
8/14/17,77,72
8/15/17,88,71
8/16/17,91,76
8/17/17,86,72
8/18/17,92,70
8/19/17,94,70
8/20/17,95,77
8/21/17,91,77
8/22/17,93,77
8/23/17,82,70
8/24/17,84,65
8/25/17,86,63
8/26/17,79,68
8/27/17,87,71
8/28/17,85,71
8/29/17,86,69
8/30/17,83,69
8/31/17,75,69
9/1/17,82,66
9/2/17,84,65
9/3/17,89,67
9/4/17,90,74
9/5/17,78,63
9/6/17,75,57
9/7/17,79,55
9/8/17,81,59
9/9/17,82,61
9/10/17,83,61
9/11/17,79,58
9/12/17,66,61
9/13/17,81,61
9/14/17,86,64
9/15/17,87,67
9/16/17,90,67
9/17/17,90,70
9/18/17,90,71
9/19/17,91,71
9/20/17,92,73
9/21/17,91,73
9/22/17,93,72
9/23/17,94,71
9/24/17,90,71
9/25/17,90,68
9/26/17,90,67
9/27/17,86,71
9/28/17,84,64
9/29/17,83,61
9/30/17,84,63
10/1/17,83,58
10/2/17,82,66
10/3/17,80,69
10/4/17,84,68
10/5/17,86,65
10/6/17,85,65
10/7/17,89,68
10/8/17,89,70
10/9/17,91,71
10/10/17,80,54
10/11/17,68,52
10/12/17,78,51
10/13/17,85,58
10/14/17,90,67
10/15/17,77,54
10/16/17,69,48
10/17/17,71,47
10/18/17,77,49
10/19/17,79,52
10/20/17,74,54
10/21/17,80,62
